ix,goal_cost,intv_cost
3963,1.0,0.1829
3509,1.0,0.18530000000000002
2379,1.0,0.1847
3929,1.0,0.7835000000000001
2525,1.0,0.184
2335,1.0,1.0
2246,1.0,0.18380000000000002
2005,1.0,0.2833
3683,1.0,0.1857
3001,1.0,0.18280000000000002
3319,1.0,0.1845
2659,1.0,0.08370000000000001
2187,1.0,0.18530000000000002
2283,1.0,0.48350000000000004
3778,1.0,0.3829
3532,1.0,0.1831
2794,1.0,0.1845
3580,1.0,0.0828
3525,1.0,0.5823
3534,1.0,0.2838
2505,1.0,0.4822
3420,1.0,0.1844
3388,1.0,0.1844
2848,1.0,0.9827
2621,1.0,0.6816000000000001
3573,1.0,0.0833
3091,1.0,0.1822
2854,1.0,0.6849000000000001
3594,1.0,0.7829
3742,1.0,0.1837
2942,1.0,0.184
2460,1.0,0.8841000000000001
2202,1.0,0.5834
2117,1.0,0.5823
2105,1.0,0.18510000000000001
3839,1.0,0.1806
3448,1.0,0.1831
2765,1.0,0.2826
3861,1.0,0.1826
2984,1.0,0.1826
2035,1.0,0.18480000000000002
3766,1.0,1.0825
3616,1.0,1.0849
2287,1.0,0.1836
2749,1.0,0.9846
3461,1.0,0.7834000000000001
2626,1.0,0.184
2403,1.0,0.18380000000000002
2284,1.0,0.18430000000000002
2975,1.0,0.6837000000000001
2038,1.0,0.9816
3907,1.0,0.2833
2409,1.0,0.1834
2377,1.0,0.1844
2861,1.0,0.1824
3797,1.0,0.5834
2991,1.0,0.18330000000000002
2863,1.0,0.18330000000000002
2331,1.0,0.1832
2223,1.0,0.184
2831,1.0,0.1827
3533,1.0,0.18460000000000001
2916,1.0,0.18460000000000001
3747,1.0,0.1826
2102,1.0,0.18480000000000002
2553,1.0,0.1816
2350,1.0,0.18230000000000002
2539,1.0,0.1834
3070,1.0,0.1855
2961,1.0,0.9838
2015,1.0,0.1854
3055,1.0,0.1855
2725,1.0,0.2843
2779,1.0,1.083
3182,1.0,0.6833000000000001
3882,1.0,0.1825
2215,1.0,0.0823
3206,1.0,0.6848000000000001
3957,1.0,0.8829
2901,1.0,0.1826
3361,1.0,0.1837
2582,1.0,0.08310000000000001
3905,1.0,0.1829
2170,1.0,0.6836000000000001
3536,1.0,0.183
3443,1.0,0.1831
2792,1.0,0.0833
3583,1.0,0.18610000000000002
2412,1.0,0.5828
2027,1.0,0.0843
2818,1.0,0.1825
3567,1.0,0.1836
3537,1.0,0.1859
2891,1.0,1.0833
3515,1.0,0.1819
2083,1.0,0.1831
2467,1.0,0.2822
2406,1.0,0.5824
3584,1.0,0.1832
3395,1.0,0.9835
3291,1.0,0.1849
2150,1.0,0.18280000000000002
2833,1.0,0.2821
3551,1.0,0.8822000000000001
3695,1.0,0.1827
3192,1.0,0.7835000000000001
3118,1.0,0.583
3598,1.0,0.18330000000000002
2069,1.0,0.1817
2958,1.0,0.38210000000000005
3419,1.0,0.18460000000000001
3520,1.0,0.18560000000000001
3635,1.0,0.1827
3744,1.0,0.18480000000000002
2191,1.0,0.983
2124,1.0,0.18280000000000002
2351,1.0,0.1855
3976,1.0,0.18280000000000002
3710,1.0,0.1832
3988,1.0,0.18180000000000002
2281,1.0,0.6831
3175,1.0,0.1847
3814,1.0,0.1825
3489,1.0,0.7821
3678,1.0,0.2823
2593,1.0,0.1834
2114,1.0,0.184
2997,1.0,0.18430000000000002
2323,1.0,0.7844000000000001
2761,1.0,0.5844
3131,1.0,0.18280000000000002
2870,1.0,0.1825
2466,1.0,0.183
3931,1.0,0.1825
3868,1.0,0.6833000000000001
2649,1.0,0.1839
3668,1.0,0.18280000000000002
3094,1.0,0.8824000000000001
3148,1.0,0.18320000000000003
2824,1.0,0.9829
3152,1.0,0.1835
3193,1.0,0.883
2887,1.0,0.785
2484,1.0,0.1827
2325,1.0,0.5833
3873,1.0,0.1841
3154,1.0,0.1831
3833,1.0,0.08310000000000001
3470,1.0,0.1841
2116,1.0,0.182
3168,1.0,0.18430000000000002
2216,1.0,0.18580000000000002
3289,1.0,0.1837
2552,1.0,0.1845
3690,1.0,0.1819
3613,1.0,0.9843000000000001
2417,1.0,0.6844000000000001
2158,1.0,0.1845
2643,1.0,0.1837
3661,1.0,0.6844000000000001
3456,1.0,0.183
3207,1.0,0.5838
2440,1.0,0.8835000000000001
3233,1.0,0.18230000000000002
3414,1.0,0.18230000000000002
2366,1.0,0.2833
2767,1.0,0.9836
2051,1.0,0.18380000000000002
2009,1.0,0.18430000000000002
3065,1.0,0.6833
2681,1.0,0.1844
3438,1.0,0.18480000000000002
3688,1.0,0.18460000000000001
3746,1.0,0.8834000000000001
2713,1.0,0.5814
3324,1.0,0.7836000000000001
3497,1.0,0.1857
3386,1.0,0.1817
3238,1.0,0.28200000000000003
2210,1.0,0.28290000000000004
3853,1.0,0.2837
2917,1.0,0.7845000000000001
2944,1.0,0.1837
2396,1.0,0.1829
2535,1.0,0.2827
2819,1.0,0.2828
2565,1.0,0.1849
3764,1.0,0.883
2950,1.0,0.9827
3359,1.0,0.8834000000000001
2897,1.0,0.18480000000000002
2832,1.0,0.28600000000000003
2715,1.0,0.883
3984,1.0,0.9852000000000001
3260,1.0,0.1837
2109,1.0,0.18380000000000002
2317,1.0,0.1835
2236,1.0,0.5831
3318,1.0,0.1831
2464,1.0,0.4847
