,years_experience,degree,nr_commits,nr_languages,nr_stars
3588,3.0,1.0,3038.0,5.0,11.0
3067,1.0,3.0,1010.0,1.0,16.0
2389,1.0,3.0,1016.0,10.0,14.0
2187,0.0,3.0,5.0,3.0,14.0
3532,4.0,0.0,4044.0,1.0,13.0
3839,5.0,0.0,5058.0,2.0,20.0
3332,3.0,1.0,3035.0,5.0,19.0
2997,2.0,2.0,2023.0,3.0,13.0
2902,0.0,3.0,4.0,5.0,14.0
3641,2.0,2.0,2022.0,6.0,14.0
2731,0.0,3.0,2.0,6.0,5.0
2737,3.0,1.0,3032.0,10.0,16.0
3323,3.0,1.0,3033.0,8.0,12.0
2070,2.0,2.0,2024.0,5.0,12.0
2872,3.0,1.0,3034.0,5.0,16.0
2680,2.0,2.0,2021.0,1.0,11.0
2487,3.0,1.0,3033.0,2.0,14.0
3913,1.0,3.0,1010.0,1.0,21.0
2760,2.0,2.0,2021.0,1.0,13.0
3283,4.0,0.0,4044.0,4.0,13.0
3564,4.0,1.0,4042.0,6.0,11.0
2420,0.0,3.0,3.0,3.0,13.0
2928,1.0,3.0,1010.0,10.0,12.0
2979,0.0,3.0,5.0,2.0,11.0
3458,3.0,1.0,3034.0,3.0,18.0
2779,1.0,3.0,1019.0,4.0,10.0
2761,0.0,3.0,5.0,2.0,15.0
3445,3.0,1.0,3032.0,5.0,13.0
3093,3.0,1.0,3032.0,6.0,12.0
3391,1.0,3.0,1013.0,1.0,10.0
2716,0.0,3.0,1.0,6.0,14.0
2182,3.0,1.0,3034.0,4.0,14.0
3110,2.0,2.0,2024.0,7.0,23.0
3206,0.0,3.0,2.0,5.0,14.0
3907,1.0,3.0,1015.0,1.0,18.0
2245,3.0,1.0,3031.0,5.0,12.0
3516,1.0,3.0,1015.0,5.0,12.0
3708,4.0,1.0,4045.0,2.0,13.0
2681,1.0,3.0,1013.0,5.0,17.0
2935,4.0,0.0,4044.0,7.0,13.0
3912,2.0,2.0,2024.0,10.0,15.0
3279,3.0,1.0,3031.0,5.0,14.0
2428,4.0,0.0,4043.0,4.0,17.0
3156,3.0,1.0,3036.0,5.0,14.0
3990,0.0,3.0,4.0,1.0,16.0
2388,4.0,0.0,4042.0,4.0,15.0
3472,0.0,3.0,3.0,5.0,19.0
2912,3.0,1.0,3032.0,9.0,10.0
2150,4.0,0.0,4044.0,14.0,13.0
3868,3.0,1.0,3032.0,5.0,14.0
3861,3.0,1.0,3032.0,3.0,19.0
2316,1.0,3.0,1015.0,9.0,18.0
3844,0.0,3.0,4.0,1.0,12.0
2684,1.0,3.0,1013.0,4.0,11.0
3097,4.0,1.0,4042.0,12.0,15.0
3165,1.0,3.0,1012.0,6.0,14.0
3227,3.0,1.0,3033.0,8.0,10.0
3809,4.0,0.0,4043.0,6.0,14.0
3613,0.0,3.0,2.0,3.0,1.0
2765,4.0,1.0,4047.0,3.0,15.0
2117,2.0,2.0,2025.0,2.0,15.0
2351,0.0,3.0,3.0,6.0,12.0
2483,3.0,1.0,3033.0,13.0,12.0
2287,2.0,2.0,2026.0,4.0,14.0
3111,3.0,1.0,3036.0,7.0,14.0
2898,2.0,2.0,2027.0,9.0,12.0
2566,1.0,3.0,1015.0,3.0,15.0
2742,0.0,3.0,2.0,1.0,5.0
3310,3.0,1.0,3030.0,9.0,17.0
2281,1.0,3.0,1013.0,7.0,14.0
2645,1.0,3.0,1014.0,7.0,13.0
3318,4.0,0.0,4046.0,14.0,14.0
3248,0.0,3.0,4.0,1.0,1.0
3871,2.0,2.0,2024.0,8.0,13.0
2124,2.0,2.0,2028.0,2.0,18.0
3748,1.0,3.0,1014.0,4.0,15.0
2249,1.0,3.0,1014.0,7.0,11.0
3525,1.0,3.0,14.0,3.0,5.0
3388,0.0,3.0,3.0,6.0,19.0
3918,3.0,1.0,3036.0,4.0,13.0
2011,4.0,0.0,4044.0,7.0,14.0
2286,2.0,2.0,2022.0,2.0,10.0
3533,3.0,1.0,3032.0,3.0,12.0
2693,3.0,1.0,3035.0,2.0,10.0
2944,1.0,3.0,1017.0,11.0,13.0
2366,1.0,3.0,1013.0,7.0,18.0
3728,3.0,1.0,3035.0,4.0,12.0
2552,4.0,0.0,4044.0,3.0,17.0
3807,1.0,3.0,1014.0,1.0,14.0
2015,0.0,3.0,5.0,9.0,14.0
3225,4.0,0.0,4046.0,3.0,12.0
3910,3.0,1.0,3034.0,8.0,13.0
2719,3.0,1.0,3035.0,1.0,14.0
3567,4.0,0.0,4044.0,2.0,13.0
2569,1.0,3.0,1016.0,9.0,12.0
2547,1.0,3.0,1011.0,1.0,20.0
3636,3.0,1.0,3034.0,7.0,13.0
2950,1.0,3.0,1018.0,1.0,11.0
2432,1.0,3.0,1017.0,6.0,18.0
2460,0.0,3.0,3.0,3.0,12.0
2991,4.0,0.0,4045.0,3.0,12.0
3841,1.0,3.0,1010.0,3.0,10.0
3774,3.0,1.0,3037.0,2.0,14.0
2959,3.0,1.0,3033.0,2.0,19.0
3268,4.0,0.0,4042.0,5.0,12.0
3717,4.0,1.0,4049.0,12.0,19.0
3254,2.0,2.0,2022.0,4.0,12.0
2848,1.0,3.0,1019.0,3.0,11.0
2257,4.0,0.0,4047.0,5.0,13.0
2535,3.0,1.0,3032.0,1.0,18.0
3257,1.0,3.0,1011.0,9.0,14.0
2258,1.0,3.0,1016.0,10.0,17.0
2074,2.0,2.0,2024.0,10.0,14.0
3988,3.0,1.0,3040.0,1.0,12.0
3713,1.0,3.0,1015.0,3.0,15.0
2516,3.0,1.0,3035.0,1.0,14.0
3521,4.0,0.0,41.0,10.0,9.0
2749,0.0,3.0,2.0,1.0,11.0
3420,1.0,3.0,1015.0,2.0,12.0
2018,2.0,3.0,2025.0,4.0,11.0
2785,2.0,2.0,2022.0,3.0,10.0
3540,1.0,3.0,1016.0,2.0,20.0
2061,3.0,1.0,3034.0,3.0,12.0
3456,2.0,2.0,2022.0,2.0,18.0
2252,4.0,0.0,4043.0,2.0,13.0
2734,2.0,2.0,2023.0,3.0,23.0
3943,0.0,3.0,3.0,10.0,11.0
2891,3.0,1.0,3035.0,8.0,10.0
3664,3.0,1.0,3039.0,2.0,13.0
2403,4.0,0.0,4042.0,3.0,13.0
3040,3.0,1.0,3032.0,8.0,18.0
2102,1.0,3.0,1014.0,5.0,16.0
2172,0.0,3.0,2.0,1.0,11.0
2837,0.0,3.0,3.0,1.0,17.0
3343,2.0,2.0,2024.0,8.0,10.0
2353,0.0,3.0,1.0,7.0,1.0
3587,3.0,1.0,3038.0,5.0,14.0
3467,1.0,3.0,1013.0,5.0,12.0
2498,1.0,3.0,1015.0,6.0,17.0
3361,4.0,0.0,4042.0,4.0,16.0
3561,4.0,0.0,4045.0,4.0,12.0
2821,0.0,3.0,3.0,6.0,16.0
3683,0.0,3.0,3.0,2.0,14.0
2917,0.0,3.0,3.0,7.0,13.0
3737,3.0,1.0,3037.0,6.0,23.0
3090,0.0,3.0,5.0,8.0,10.0
3537,0.0,3.0,1.0,4.0,16.0
2409,2.0,2.0,2026.0,5.0,12.0
3198,3.0,1.0,3033.0,7.0,11.0
3145,2.0,2.0,2026.0,4.0,11.0
2163,1.0,3.0,1010.0,6.0,12.0
3286,2.0,2.0,2022.0,3.0,16.0
2093,1.0,3.0,1015.0,5.0,12.0
3390,3.0,1.0,3032.0,7.0,11.0
3185,3.0,1.0,3042.0,6.0,17.0
3498,0.0,3.0,8.0,2.0,0.0
3773,1.0,3.0,1014.0,7.0,15.0
2343,1.0,3.0,1013.0,4.0,13.0
3858,5.0,0.0,5053.0,6.0,17.0
2576,4.0,0.0,4045.0,3.0,11.0
2005,3.0,1.0,3034.0,4.0,12.0
2911,3.0,1.0,3033.0,6.0,14.0
3890,3.0,1.0,3035.0,6.0,13.0
2595,0.0,3.0,6.0,0.0,3.0
3905,3.0,1.0,3035.0,8.0,15.0
2133,1.0,3.0,1014.0,2.0,16.0
3289,3.0,1.0,3032.0,8.0,15.0
2924,3.0,1.0,3031.0,1.0,21.0
3239,4.0,0.0,4049.0,9.0,15.0
3291,3.0,1.0,3033.0,5.0,12.0
3894,1.0,3.0,1012.0,7.0,13.0
2577,3.0,1.0,3033.0,1.0,12.0
2089,3.0,1.0,3033.0,3.0,13.0
2986,3.0,1.0,3035.0,1.0,14.0
2262,0.0,3.0,6.0,2.0,12.0
2009,4.0,0.0,4043.0,5.0,12.0
2345,3.0,1.0,36.0,2.0,6.0
2573,1.0,3.0,1014.0,9.0,11.0
2717,3.0,1.0,3035.0,2.0,15.0
3030,0.0,3.0,4.0,3.0,13.0
2045,3.0,1.0,3037.0,2.0,12.0
3012,1.0,3.0,1014.0,2.0,10.0
3499,3.0,1.0,3036.0,4.0,11.0
3625,3.0,1.0,3032.0,8.0,12.0
2504,1.0,3.0,1017.0,9.0,13.0
2973,3.0,1.0,3035.0,2.0,23.0
3418,4.0,0.0,4044.0,6.0,14.0
3360,3.0,1.0,3036.0,1.0,12.0
2814,3.0,1.0,3038.0,1.0,13.0
2079,0.0,3.0,8.0,7.0,13.0
3345,2.0,2.0,2027.0,7.0,13.0
2277,3.0,1.0,3035.0,4.0,17.0
2958,2.0,2.0,2027.0,5.0,17.0
2376,3.0,1.0,3034.0,4.0,11.0
3842,3.0,1.0,3036.0,3.0,20.0
2488,3.0,1.0,3033.0,1.0,13.0
2709,3.0,1.0,3041.0,5.0,16.0
2029,1.0,3.0,1016.0,11.0,13.0
2957,2.0,2.0,2023.0,1.0,18.0
3607,1.0,3.0,1016.0,1.0,10.0
