,years_experience,degree,nr_commits,nr_languages,nr_stars
2795,0.0,0.0,826.0,0.0,0.0
3795,0.0,0.0,828.0,0.0,0.0
2283,0.0,0.0,1834.0,0.0,0.0
3252,0.0,0.0,836.0,0.0,0.0
2897,0.0,0.0,823.0,0.0,0.0
2840,0.0,0.0,843.0,0.0,0.0
2390,0.0,0.0,835.0,0.0,0.0
3883,0.0,0.0,2823.0,0.0,0.0
3280,0.0,0.0,1831.0,0.0,0.0
3862,0.0,0.0,821.0,0.0,0.0
2017,0.0,0.0,827.0,0.0,0.0
2168,0.0,0.0,836.0,0.0,0.0
2874,0.0,0.0,1825.0,0.0,0.0
3957,0.0,0.0,833.0,0.0,0.0
2522,0.0,0.0,833.0,0.0,0.0
3637,0.0,0.0,819.0,0.0,0.0
3391,0.0,0.0,835.0,0.0,0.0
3140,0.0,0.0,821.0,0.0,0.0
2801,0.0,0.0,823.0,0.0,0.0
2590,0.0,0.0,845.0,0.0,0.0
3685,0.0,0.0,848.0,0.0,0.0
2355,0.0,0.0,815.0,0.0,0.0
2142,0.0,0.0,827.0,0.0,0.0
3561,0.0,0.0,835.0,0.0,0.0
2802,0.0,0.0,830.0,0.0,0.0
2937,0.0,0.0,828.0,0.0,0.0
3972,0.0,0.0,1837.0,0.0,0.0
3690,0.0,0.0,832.0,0.0,0.0
3041,0.0,0.0,1826.0,0.0,0.0
2592,0.0,0.0,826.0,0.0,0.0
2574,0.0,0.0,841.0,0.0,0.0
3287,0.0,0.0,1826.0,0.0,0.0
3392,0.0,0.0,839.0,0.0,0.0
3691,0.0,0.0,842.0,0.0,0.0
3847,0.0,0.0,834.0,0.0,0.0
2999,0.0,0.0,832.0,0.0,0.0
3058,0.0,0.0,830.0,0.0,0.0
3197,0.0,0.0,833.0,0.0,0.0
3385,0.0,0.0,847.0,0.0,0.0
2179,0.0,0.0,1831.0,0.0,0.0
2422,0.0,0.0,830.0,0.0,0.0
3435,0.0,0.0,828.0,0.0,0.0
3470,0.0,0.0,846.0,0.0,0.0
3558,0.0,0.0,828.0,0.0,0.0
2812,0.0,0.0,828.0,0.0,0.0
2581,0.0,0.0,815.0,0.0,0.0
3032,0.0,0.0,815.0,0.0,0.0
2262,0.0,0.0,836.0,0.0,0.0
2838,0.0,0.0,824.0,0.0,0.0
3635,0.0,0.0,847.0,0.0,0.0
3980,0.0,0.0,835.0,0.0,0.0
2068,0.0,0.0,843.0,0.0,0.0
3529,0.0,0.0,836.0,0.0,0.0
3301,0.0,0.0,821.0,0.0,0.0
3087,0.0,0.0,834.0,0.0,0.0
2654,0.0,0.0,836.0,0.0,0.0
3490,0.0,0.0,825.0,0.0,0.0
3312,0.0,0.0,833.0,0.0,0.0
3525,0.0,0.0,1821.0,0.0,0.0
2974,0.0,0.0,844.0,0.0,0.0
2119,0.0,0.0,845.0,0.0,0.0
2194,0.0,0.0,830.0,0.0,0.0
3167,0.0,0.0,830.0,0.0,0.0
2627,0.0,0.0,829.0,0.0,0.0
3923,0.0,0.0,817.0,0.0,0.0
3359,0.0,0.0,841.0,0.0,0.0
2453,0.0,0.0,1834.0,0.0,0.0
2433,0.0,0.0,831.0,0.0,0.0
3393,0.0,0.0,842.0,0.0,0.0
2591,0.0,0.0,1826.0,0.0,0.0
3169,0.0,0.0,818.0,0.0,0.0
2894,0.0,0.0,825.0,0.0,0.0
2825,0.0,0.0,824.0,0.0,0.0
2043,0.0,0.0,824.0,0.0,0.0
2038,0.0,0.0,1826.0,0.0,0.0
2243,0.0,0.0,833.0,0.0,0.0
3701,0.0,0.0,835.0,0.0,0.0
2322,0.0,0.0,835.0,0.0,0.0
2182,0.0,0.0,831.0,0.0,0.0
2292,0.0,0.0,841.0,0.0,0.0
2190,0.0,0.0,832.0,0.0,0.0
2006,0.0,0.0,829.0,0.0,0.0
2946,0.0,0.0,830.0,0.0,0.0
3025,0.0,0.0,836.0,0.0,0.0
2906,0.0,0.0,814.0,0.0,0.0
2998,0.0,0.0,827.0,0.0,0.0
3821,0.0,0.0,1839.0,0.0,0.0
2210,0.0,0.0,817.0,0.0,0.0
3985,0.0,0.0,828.0,0.0,0.0
2423,0.0,0.0,832.0,0.0,0.0
3638,0.0,0.0,830.0,0.0,0.0
2452,0.0,0.0,818.0,0.0,0.0
2815,0.0,0.0,833.0,0.0,0.0
2236,0.0,0.0,824.0,0.0,0.0
2112,0.0,0.0,835.0,0.0,0.0
3248,0.0,0.0,2830.0,0.0,0.0
2057,0.0,0.0,834.0,0.0,0.0
3531,0.0,0.0,816.0,0.0,0.0
2914,0.0,0.0,850.0,0.0,0.0
3731,0.0,0.0,821.0,0.0,0.0
3012,0.0,0.0,1823.0,0.0,0.0
3830,0.0,0.0,829.0,0.0,0.0
3021,0.0,0.0,1827.0,0.0,0.0
2885,0.0,0.0,826.0,0.0,0.0
2787,0.0,0.0,827.0,0.0,0.0
3328,0.0,0.0,818.0,0.0,0.0
3666,0.0,0.0,817.0,0.0,0.0
3780,0.0,0.0,852.0,0.0,0.0
3721,0.0,0.0,2829.0,0.0,0.0
2764,0.0,0.0,823.0,0.0,0.0
2674,0.0,0.0,832.0,0.0,0.0
2482,0.0,0.0,826.0,0.0,0.0
3723,0.0,0.0,832.0,0.0,0.0
3062,0.0,0.0,826.0,0.0,0.0
2910,0.0,0.0,2838.0,0.0,0.0
3834,0.0,0.0,1835.0,0.0,0.0
2820,0.0,0.0,846.0,0.0,0.0
3679,0.0,0.0,821.0,0.0,0.0
2752,0.0,0.0,1833.0,0.0,0.0
2300,0.0,0.0,822.0,0.0,0.0
2478,0.0,0.0,833.0,0.0,0.0
2662,0.0,0.0,1838.0,0.0,0.0
2964,0.0,0.0,827.0,0.0,0.0
2308,0.0,0.0,834.0,0.0,0.0
3088,0.0,0.0,820.0,0.0,0.0
2534,0.0,0.0,825.0,0.0,0.0
2694,0.0,0.0,844.0,0.0,0.0
2414,0.0,0.0,814.0,0.0,0.0
2027,0.0,0.0,814.0,0.0,0.0
2463,0.0,0.0,843.0,0.0,0.0
2703,0.0,0.0,2828.0,0.0,0.0
3135,0.0,0.0,825.0,0.0,0.0
3293,0.0,0.0,834.0,0.0,0.0
2296,0.0,0.0,833.0,0.0,0.0
2804,0.0,0.0,833.0,0.0,0.0
3124,0.0,0.0,2821.0,1.0,0.0
3560,0.0,0.0,825.0,0.0,0.0
2009,0.0,0.0,847.0,0.0,0.0
3354,0.0,0.0,835.0,0.0,0.0
2324,0.0,0.0,-1.0,0.0,10.0
