,y_hat
2795,False
3795,False
2283,False
3252,False
2897,False
2840,False
2390,False
3883,False
3280,False
3862,False
2017,False
2168,False
2874,False
3957,False
2522,False
3637,False
3391,False
3140,False
2801,False
2590,False
3685,False
2355,False
2142,False
3561,False
2802,False
2937,False
3972,False
3690,False
3041,False
2592,False
2574,False
3287,False
3392,False
3691,False
3847,False
2999,False
3058,False
3197,False
3385,False
2179,False
2422,False
3435,False
3470,False
3558,False
2812,False
2581,False
3032,False
2262,False
2838,False
3635,False
3980,False
2068,False
3529,False
3301,False
3087,False
2654,False
3490,False
3312,False
3525,False
2974,False
2119,False
2194,False
3167,False
2627,False
3923,False
3359,False
2453,False
2433,False
3393,False
2591,False
3169,False
2894,False
2825,False
2043,False
2038,False
2243,False
3701,False
2322,False
2182,False
2292,False
2190,False
2006,False
2946,False
3025,False
2906,False
2998,False
3821,False
2210,False
3985,False
2423,False
3638,False
2452,False
2815,False
2236,False
2112,False
3248,False
2057,False
3531,False
2914,False
3731,False
3012,False
3830,False
3021,False
2885,False
2787,False
3328,False
3666,False
3780,False
3721,False
2764,False
2674,False
2482,False
3723,False
3062,False
2910,False
3834,False
2820,False
3679,False
2752,False
2300,False
2478,False
2662,False
2964,False
2308,False
3088,False
2534,False
2694,False
2414,False
2027,False
2463,False
2703,False
3135,False
3293,False
2296,False
2804,False
3124,False
3560,False
2009,False
3354,False
2324,False
3010,False
2732,False
2975,False
3513,False
3259,False
2981,False
3987,False
3620,False
3848,False
3718,False
3451,False
3189,False
2622,False
2036,False
3209,False
2090,False
2863,False
3948,False
2556,False
3521,False
3898,False
3566,False
2305,False
3235,False
2161,False
2923,False
2313,False
3481,False
2257,False
2523,False
3512,False
2083,False
2499,False
3502,False
2749,False
2424,False
2951,False
3786,False
2875,False
2457,False
3111,False
3218,False
3077,False
3651,False
3650,False
3183,False
3663,False
3286,False
3249,False
3925,False
3609,False
3829,False
3016,False
2877,False
2870,False
2531,False
2382,False
2096,False
2318,False
3026,False
