,years_experience,degree,nr_commits,nr_languages,nr_stars
3773,1.0,0.0,15.0,4.0,7.0
3755,3.0,0.0,33.0,2.0,2.0
3016,2.0,0.0,23.0,1.0,4.0
3734,2.0,0.0,23.0,4.0,16.0
2293,2.0,0.0,21.0,3.0,4.0
2112,1.0,1.0,15.0,6.0,7.0
3782,2.0,0.0,25.0,3.0,2.0
2170,2.0,1.0,24.0,7.0,5.0
2439,1.0,0.0,17.0,0.0,13.0
3343,3.0,0.0,35.0,0.0,5.0
3210,3.0,0.0,33.0,7.0,3.0
2357,3.0,0.0,34.0,5.0,4.0
2951,0.0,0.0,4.0,10.0,3.0
2093,1.0,2.0,15.0,6.0,6.0
2265,3.0,0.0,35.0,4.0,0.0
2258,3.0,0.0,33.0,3.0,4.0
2913,3.0,0.0,35.0,6.0,4.0
2044,3.0,0.0,32.0,2.0,5.0
3493,1.0,0.0,15.0,2.0,12.0
2443,2.0,0.0,21.0,3.0,3.0
2391,2.0,1.0,23.0,3.0,4.0
2024,0.0,1.0,6.0,5.0,5.0
3813,2.0,0.0,21.0,2.0,4.0
3898,3.0,0.0,32.0,8.0,0.0
3556,1.0,0.0,13.0,1.0,5.0
2889,1.0,0.0,20.0,1.0,0.0
3004,3.0,0.0,35.0,5.0,6.0
3488,3.0,0.0,33.0,2.0,6.0
3080,3.0,0.0,30.0,3.0,5.0
3554,2.0,0.0,22.0,3.0,4.0
2794,2.0,1.0,25.0,2.0,2.0
3365,1.0,0.0,12.0,1.0,0.0
2221,1.0,0.0,11.0,0.0,3.0
3856,2.0,0.0,23.0,2.0,1.0
2321,2.0,0.0,23.0,0.0,7.0
3521,1.0,1.0,11.0,5.0,4.0
2691,3.0,0.0,35.0,14.0,7.0
3598,1.0,0.0,11.0,1.0,6.0
2494,0.0,0.0,3.0,1.0,6.0
2787,1.0,0.0,17.0,4.0,1.0
2582,2.0,0.0,25.0,4.0,5.0
2732,1.0,0.0,12.0,0.0,4.0
2349,3.0,0.0,32.0,2.0,9.0
2815,1.0,0.0,15.0,3.0,2.0
2048,3.0,0.0,37.0,1.0,1.0
3580,1.0,0.0,14.0,7.0,4.0
2926,2.0,0.0,27.0,2.0,7.0
2433,2.0,1.0,23.0,3.0,8.0
3646,3.0,0.0,31.0,2.0,4.0
3879,1.0,0.0,14.0,2.0,7.0
3391,1.0,1.0,12.0,1.0,0.0
2820,0.0,2.0,6.0,15.0,4.0
2145,2.0,1.0,21.0,2.0,2.0
2875,3.0,0.0,36.0,1.0,6.0
3539,2.0,1.0,23.0,0.0,3.0
2771,0.0,2.0,4.0,13.0,3.0
2292,0.0,0.0,3.0,5.0,3.0
3342,1.0,0.0,14.0,2.0,3.0
3286,2.0,0.0,22.0,2.0,3.0
3314,3.0,0.0,32.0,5.0,1.0
3513,0.0,2.0,3.0,1.0,9.0
2709,2.0,1.0,24.0,6.0,2.0
2049,0.0,0.0,3.0,9.0,3.0
3010,2.0,0.0,22.0,6.0,1.0
2828,2.0,0.0,26.0,3.0,5.0
2868,1.0,0.0,16.0,1.0,0.0
2674,1.0,1.0,12.0,3.0,0.0
3654,0.0,2.0,6.0,2.0,0.0
3259,2.0,0.0,25.0,4.0,6.0
2238,2.0,0.0,22.0,3.0,6.0
2336,2.0,0.0,25.0,3.0,0.0
3088,3.0,0.0,35.0,2.0,9.0
2948,1.0,1.0,11.0,6.0,2.0
3249,1.0,0.0,11.0,18.0,3.0
3683,3.0,0.0,31.0,8.0,2.0
2807,1.0,1.0,15.0,0.0,0.0
2804,1.0,0.0,15.0,7.0,5.0
2444,4.0,0.0,43.0,1.0,3.0
3729,1.0,0.0,14.0,0.0,2.0
3154,1.0,0.0,16.0,2.0,6.0
