ix,goal_cost,intv_cost
3773,0.994,15.0
3755,0.95,5.0
3016,0.884,10.0
3734,0.882,10.0
2293,0.892,10.0
2112,0.948,10.0
3782,0.954,10.0
2170,0.952,5.0
2439,0.984,15.0
3343,0.902,5.0
3210,0.936,5.0
2357,0.952,5.0
2951,0.874,15.0
2093,0.994,5.0
2265,0.94,5.0
2258,0.866,5.0
2913,0.878,5.0
2044,0.896,5.0
3493,0.944,15.0
2443,0.866,10.0
2391,0.936,5.0
2024,0.88,10.0
3813,0.952,10.0
3898,0.902,5.0
3556,0.986,15.0
2889,0.982,15.0
3004,0.946,5.0
3488,0.892,5.0
3080,0.904,5.0
3554,0.986,10.0
2794,0.982,5.0
3365,0.996,15.0
2221,0.994,15.0
3856,0.95,10.0
2321,0.95,10.0
3521,0.93,10.0
2691,0.888,5.0
3598,0.872,15.0
2494,0.878,15.0
2787,0.994,15.0
2582,0.858,10.0
2732,0.996,15.0
2349,0.934,5.0
2815,0.95,15.0
2048,0.946,5.0
3580,0.994,15.0
2926,0.954,10.0
2433,0.956,5.0
3646,0.946,5.0
3879,0.998,15.0
3391,0.994,10.0
2820,0.896,5.0
2145,0.984,5.0
2875,0.964,5.0
3539,0.986,5.0
2771,0.868,5.0
2292,0.876,15.0
3342,0.992,15.0
3286,0.89,10.0
3314,0.962,5.0
3513,0.87,5.0
2709,0.974,5.0
2049,0.884,15.0
3010,0.892,10.0
2828,0.888,10.0
2868,0.994,15.0
2674,0.996,10.0
3654,0.854,5.0
3259,0.86,10.0
2238,0.952,10.0
2336,0.958,10.0
3088,0.858,5.0
2948,0.992,10.0
3249,0.946,15.0
3683,0.94,5.0
2807,0.992,10.0
2804,0.994,15.0
2444,0.994,5.0
3729,0.954,15.0
3154,0.996,15.0
2943,0.956,5.0
2423,0.98,10.0
3208,0.884,10.0
2902,0.99,10.0
3169,0.95,5.0
3183,0.978,5.0
3602,0.864,15.0
3795,0.976,10.0
2778,0.946,10.0
3509,0.87,10.0
3167,0.99,15.0
2999,0.998,10.0
2069,0.994,10.0
2765,0.944,10.0
3641,0.98,5.0
3049,0.994,15.0
3453,0.882,10.0
2798,0.878,5.0
3470,0.876,5.0
2919,0.968,5.0
3247,0.874,10.0
2257,0.994,15.0
2981,0.994,15.0
2329,0.88,15.0
2613,0.992,10.0
3114,0.988,15.0
3881,0.952,15.0
3302,0.956,10.0
2874,0.958,5.0
3842,0.952,5.0
2793,0.948,5.0
3207,0.958,10.0
2367,0.98,10.0
2838,0.93,5.0
2328,0.99,5.0
3957,0.994,10.0
3380,0.872,15.0
2305,0.868,10.0
2597,0.952,5.0
3044,0.956,5.0
2313,0.984,10.0
2070,0.864,10.0
3503,0.958,5.0
2308,0.996,5.0
3046,0.88,15.0
3252,0.982,10.0
3213,0.996,5.0
3200,0.994,5.0
2424,0.942,10.0
2120,0.9,15.0
2952,0.958,10.0
3197,0.992,10.0
2731,0.888,5.0
2766,0.954,5.0
3099,0.954,10.0
3830,0.996,10.0
3163,0.99,5.0
3960,0.952,5.0
2174,0.994,15.0
2080,0.976,10.0
2569,0.99,10.0
3071,0.868,5.0
2882,0.954,15.0
3339,0.94,15.0
2622,0.948,10.0
2763,0.994,15.0
2083,0.962,10.0
3392,0.99,15.0
2498,0.9,5.0
3527,0.99,15.0
2544,0.996,15.0
3620,0.992,15.0
2749,0.97,10.0
3935,0.996,15.0
3697,0.984,15.0
3866,0.89,10.0
3062,0.956,10.0
3989,0.996,10.0
2018,0.98,5.0
3701,0.994,15.0
2382,0.866,5.0
3723,0.96,15.0
3048,0.994,5.0
2422,0.994,5.0
3663,0.874,10.0
2594,0.958,15.0
3938,0.996,10.0
3525,0.956,5.0
2264,0.95,5.0
2859,0.876,15.0
2656,0.886,15.0
2033,0.896,15.0
2697,0.862,10.0
3346,0.97,5.0
2342,0.904,15.0
2654,0.996,10.0
2017,0.95,10.0
3215,0.99,10.0
3123,0.896,15.0
3622,0.992,10.0
3426,0.994,5.0
3373,0.964,5.0
3301,0.952,10.0
2883,0.954,10.0
3848,0.954,5.0
3385,0.89,5.0
3077,0.994,15.0
3731,0.89,10.0
3806,0.994,5.0
2393,0.876,10.0
2090,0.868,10.0
3829,0.99,5.0
2975,0.996,15.0
3802,0.95,10.0
3032,0.878,10.0
2405,0.884,5.0
2861,0.994,5.0
2151,0.93,5.0
3649,0.894,10.0
2434,0.912,15.0
