,years_experience,degree,nr_commits,nr_languages,nr_stars
3657,1.0,1.0,13.0,9.0,3.0
3635,0.0,0.0,4.0,0.0,9.0
3430,2.0,0.0,23.0,7.0,3.0
3355,2.0,0.0,25.0,4.0,4.0
2974,2.0,0.0,25.0,14.0,3.0
2539,2.0,0.0,21.0,2.0,5.0
3918,2.0,0.0,23.0,2.0,10.0
2351,2.0,1.0,22.0,7.0,4.0
2127,2.0,0.0,24.0,10.0,8.0
3448,2.0,0.0,22.0,7.0,3.0
3245,0.0,1.0,2.0,4.0,10.0
2903,1.0,0.0,16.0,2.0,3.0
3480,0.0,0.0,3.0,8.0,2.0
2461,1.0,2.0,14.0,0.0,9.0
2834,1.0,0.0,13.0,10.0,3.0
2852,2.0,0.0,23.0,1.0,6.0
2293,2.0,0.0,24.0,8.0,5.0
3268,0.0,2.0,8.0,0.0,1.0
2750,0.0,2.0,3.0,4.0,6.0
3137,1.0,0.0,13.0,1.0,1.0
2103,0.0,2.0,5.0,3.0,1.0
2099,3.0,0.0,32.0,1.0,6.0
2925,1.0,1.0,14.0,5.0,4.0
2141,3.0,0.0,34.0,0.0,4.0
2943,0.0,0.0,3.0,1.0,8.0
3029,1.0,0.0,12.0,0.0,8.0
2084,2.0,0.0,24.0,6.0,3.0
2399,1.0,1.0,14.0,1.0,7.0
3397,4.0,0.0,42.0,3.0,1.0
3654,2.0,1.0,24.0,9.0,0.0
2072,1.0,0.0,11.0,4.0,3.0
3552,2.0,0.0,25.0,11.0,0.0
2183,2.0,1.0,25.0,2.0,1.0
2344,0.0,2.0,4.0,3.0,9.0
3866,1.0,1.0,17.0,3.0,6.0
3147,3.0,0.0,34.0,1.0,2.0
3579,2.0,0.0,23.0,6.0,3.0
3723,1.0,0.0,16.0,2.0,4.0
3465,1.0,0.0,15.0,2.0,3.0
2400,1.0,1.0,11.0,2.0,3.0
3586,2.0,0.0,26.0,6.0,6.0
2849,1.0,1.0,14.0,9.0,4.0
2796,2.0,0.0,27.0,4.0,12.0
2747,2.0,0.0,22.0,5.0,4.0
2676,2.0,0.0,25.0,13.0,1.0
3887,3.0,0.0,37.0,0.0,4.0
2861,0.0,0.0,6.0,4.0,1.0
2559,3.0,0.0,32.0,4.0,2.0
3127,1.0,1.0,12.0,5.0,5.0
3744,1.0,0.0,14.0,2.0,1.0
