,y_hat
3657,False
3635,False
3430,False
3355,False
2974,False
2539,False
3918,False
2351,False
2127,False
3448,False
3245,False
2903,False
3480,False
2461,False
2834,False
2852,False
2293,False
3268,False
2750,False
3137,False
2103,False
2099,False
2925,False
2141,False
2943,False
3029,False
2084,False
2399,False
3397,False
3654,False
2072,False
3552,False
2183,False
2344,False
3866,False
3147,False
3579,False
3723,False
3465,False
2400,False
3586,False
2849,False
2796,False
2747,False
2676,False
3887,False
2861,False
2559,False
3127,False
3744,False
2117,False
2411,False
2770,False
3954,False
2699,False
2756,False
2384,False
3589,False
3622,False
2727,False
3086,False
3180,False
2810,False
3082,False
2771,False
2177,False
3591,False
3075,False
3844,False
3701,False
2362,False
3383,False
2948,False
2012,False
3438,False
2358,False
3553,False
2625,False
2290,False
2163,False
2681,False
2122,False
2525,False
3486,False
3947,False
2963,False
2217,False
2512,False
3817,False
2890,False
2998,False
2848,False
2167,False
2438,False
3129,False
2694,False
2795,False
2842,False
3513,False
2967,False
2274,False
3205,False
2303,False
2552,False
2204,False
2255,False
2786,False
3161,False
3099,False
3911,False
2353,False
2534,False
3104,False
2457,False
3156,False
2926,False
3523,False
2616,False
2728,False
2992,False
3561,False
3304,False
3297,False
2798,False
3841,False
2641,False
3725,False
2788,False
3663,False
3602,False
3197,False
2675,False
3073,False
3210,False
2269,False
2510,False
3656,False
2853,False
2500,False
3044,False
2090,False
3576,False
3737,False
2542,False
3159,False
3208,False
2170,False
2530,False
2704,False
3351,False
3160,False
2872,False
2965,False
2695,False
2702,False
2007,False
2261,False
3511,False
3223,False
3144,False
3504,False
2280,False
3861,False
2030,False
3046,False
2881,False
2301,False
2026,False
3231,False
2896,False
3168,False
2742,False
3849,False
2354,False
2289,False
3214,False
2310,False
2975,False
3796,False
2672,False
2466,False
3375,False
2363,False
3748,False
3634,False
2984,False
3287,False
3316,False
2645,False
2036,False
3533,False
2910,False
3376,False
3094,False
3388,False
2043,False
3240,False
3612,False
3269,False
2785,False
