ix,goal_cost,intv_cost
2083,1.0,0.1832
3901,1.0,0.1832
3676,1.0,0.1855
2824,1.0,0.1832
2596,1.0,0.9821
2005,1.0,0.1844
2342,1.0,0.08510000000000001
3933,1.0,0.08360000000000001
3677,1.0,0.1852
2244,1.0,0.1842
2527,1.0,0.1834
3157,1.0,0.184
2895,1.0,0.1834
2894,1.0,0.18380000000000002
2816,1.0,0.183
3758,1.0,0.5817
2705,1.0,0.18530000000000002
3194,1.0,0.18330000000000002
2295,1.0,0.9832000000000001
2149,1.0,0.1852
3411,1.0,0.7823000000000001
2312,1.0,0.1849
3847,1.0,0.1841
2951,1.0,0.1852
2787,1.0,0.0826
2337,1.0,0.08270000000000001
3513,1.0,0.0848
2804,1.0,0.1852
3147,1.0,0.18480000000000002
3879,1.0,0.8829
2735,1.0,0.18330000000000002
2536,1.0,0.1845
3748,1.0,0.18280000000000002
3247,1.0,0.1834
2245,1.0,0.1835
3243,1.0,0.9821000000000001
3771,1.0,0.1844
2464,1.0,0.9829000000000001
3355,1.0,0.1855
2899,1.0,0.1831
2203,1.0,0.08370000000000001
3763,1.0,0.18480000000000002
3624,1.0,1.0813000000000001
3006,1.0,0.1835
3473,1.0,0.184
2374,1.0,0.1845
2039,1.0,1.0825
3697,1.0,0.0844
2128,1.0,0.18430000000000002
2890,1.0,0.1831
2008,1.0,0.18580000000000002
3797,1.0,0.1834
2546,1.0,0.1842
2799,1.0,0.1832
3970,1.0,0.0835
3098,1.0,0.1859
3731,1.0,0.1837
2796,1.0,0.1849
3369,1.0,0.1826
3384,1.0,0.18430000000000002
3861,1.0,0.1847
2682,1.0,0.1839
2611,1.0,0.7811000000000001
3553,1.0,0.08410000000000001
3654,1.0,0.682
3276,1.0,0.1834
3824,1.0,0.38120000000000004
2976,1.0,0.1842
3475,1.0,0.1834
3617,1.0,0.1837
3308,1.0,0.18180000000000002
3204,1.0,0.18430000000000002
3521,1.0,0.1845
2659,1.0,0.18530000000000002
2927,1.0,0.18280000000000002
3523,1.0,0.9823000000000001
2165,1.0,0.0847
3278,1.0,0.1836
2185,1.0,0.08370000000000001
2448,1.0,0.08410000000000001
3256,1.0,0.1831
2140,1.0,0.1832
2465,1.0,0.18280000000000002
2366,1.0,0.8825000000000001
2642,1.0,0.08420000000000001
2405,1.0,0.184
2378,1.0,0.1837
2571,1.0,0.1836
3687,1.0,0.1845
2831,1.0,0.1827
2150,1.0,0.185
2929,1.0,0.18560000000000001
3992,1.0,0.1842
3322,1.0,0.18460000000000001
2338,1.0,0.184
2387,1.0,0.7826000000000001
3302,1.0,0.1832
3200,1.0,0.08320000000000001
2990,1.0,0.48290000000000005
2088,1.0,0.1834
3410,1.0,0.48330000000000006
2584,1.0,0.0847
3610,1.0,0.1854
2205,1.0,0.0843
2225,1.0,0.0848
2802,1.0,0.1859
2011,1.0,0.0834
3977,1.0,0.18380000000000002
3766,1.0,0.185
3577,1.0,0.18330000000000002
2509,1.0,0.0826
3817,1.0,0.38230000000000003
2570,1.0,0.7808000000000002
2007,1.0,0.6817000000000001
2959,1.0,0.1845
3318,1.0,0.1849
3580,1.0,0.1855
3990,1.0,0.7830000000000001
2989,1.0,0.8821000000000001
3395,1.0,0.0844
2235,1.0,0.0834
3698,1.0,0.1834
2952,1.0,0.6819999999999999
2543,1.0,0.1854
3437,1.0,0.0834
3639,1.0,0.18460000000000001
3976,1.0,0.38180000000000003
3759,1.0,0.1837
3649,1.0,0.782
2841,1.0,0.0833
2764,1.0,0.0845
3674,1.0,0.08320000000000001
3571,1.0,0.1844
2939,1.0,0.8819000000000001
3920,1.0,0.1831
2096,1.0,0.0845
2292,1.0,0.1837
3019,1.0,0.1829
3984,1.0,0.8814000000000001
3888,1.0,0.9824
3994,1.0,0.18330000000000002
2022,1.0,0.18560000000000001
3816,1.0,0.1841
3665,1.0,0.5814
3312,1.0,0.1841
3733,1.0,0.18530000000000002
2490,1.0,0.7811000000000001
2855,1.0,0.0828
2189,1.0,0.18380000000000002
3326,1.0,0.38300000000000006
3190,1.0,0.2821
3693,1.0,0.0853
2156,1.0,0.1837
3712,1.0,0.1854
3569,1.0,0.5813
2002,1.0,0.1831
2846,1.0,0.18430000000000002
2791,1.0,0.18380000000000002
2749,1.0,0.1852
2747,1.0,0.0847
3960,1.0,0.1847
2530,1.0,0.1855
3750,1.0,0.9815
2261,1.0,0.1839
3381,1.0,0.18580000000000002
3235,1.0,0.1847
2809,1.0,0.5816
3573,1.0,0.18380000000000002
2120,1.0,0.8814000000000001
2207,1.0,0.1835
2260,1.0,0.18460000000000001
2707,1.0,0.08410000000000001
3001,1.0,0.0844
2780,1.0,0.18380000000000002
3611,1.0,0.18430000000000002
3644,1.0,0.1847
3670,1.0,0.18280000000000002
2372,1.0,0.9816
2385,1.0,0.1834
3451,1.0,0.1849
2258,1.0,0.1837
3767,1.0,0.18380000000000002
3051,1.0,0.2841
3131,1.0,0.1837
2603,1.0,0.183
2178,1.0,0.1834
2800,1.0,0.2847
2549,1.0,0.48260000000000003
2014,1.0,0.1829
2842,1.0,0.1829
2369,1.0,0.184
2545,1.0,0.185
2903,1.0,0.48240000000000005
2037,1.0,0.1831
3076,1.0,0.1845
2471,1.0,0.18580000000000002
3760,1.0,0.0823
2407,1.0,0.0834
3303,1.0,0.1836
3023,1.0,0.1842
