,y_hat
2672,False
3066,False
3497,False
2873,False
3389,False
2569,False
2582,False
2935,False
2894,False
2885,False
3226,False
3699,False
2492,False
2010,False
3748,False
3251,False
3866,False
2890,False
3049,False
3019,False
2682,False
3967,False
3516,False
3303,False
2896,False
2029,False
3404,False
2250,False
2099,False
3177,False
2940,False
2185,False
3369,False
2846,False
3332,False
2247,False
3376,False
2821,False
3726,False
3331,False
2148,False
2042,False
3696,False
2577,False
2741,False
2592,False
2109,False
2824,False
3467,False
3235,False
3062,False
3026,False
2674,False
2544,False
2550,False
3852,False
3105,False
3973,False
2855,False
3248,False
3942,False
3192,False
3672,False
2771,False
2382,False
3687,False
2604,False
2183,False
3888,False
2587,False
3400,False
2349,False
3372,False
3474,False
3176,False
3638,False
3559,False
3923,False
3913,False
3001,False
2205,False
3722,False
3099,False
2578,False
3984,False
3206,False
2081,False
2322,False
2033,False
2035,False
2218,False
2560,False
3170,False
3189,False
2146,False
3654,False
3479,False
2145,False
2281,False
3830,False
2270,False
3335,False
2127,False
3862,False
2718,False
2208,False
2545,False
2470,False
2076,False
2128,False
2438,False
2746,False
2262,False
2543,False
2039,False
3617,False
2056,False
2333,False
3355,False
2903,False
2150,False
3324,False
3329,False
2647,False
3871,False
2939,False
3298,False
2296,False
3153,False
3359,False
3900,False
3437,False
2901,False
2007,False
2642,False
3364,False
3278,False
3591,False
2677,False
3578,False
3280,False
2828,False
2799,False
3747,False
2464,False
3875,False
2465,False
2488,False
3621,False
2490,False
2242,False
3861,False
3530,False
3454,False
2244,False
2965,False
2459,False
2749,False
3634,False
3363,False
3613,False
2110,False
3806,False
2730,False
3256,False
2699,False
2153,False
2041,False
2158,False
3449,False
3698,False
3524,False
2151,False
3232,False
3908,False
3150,False
3293,False
3403,False
2189,False
2005,False
3190,False
3684,False
3956,False
3950,False
3677,False
2442,False
3651,False
2293,False
3841,False
3750,False
2427,False
2374,False
2770,False
2084,False
2092,False
2131,False
3673,False
2176,False
3065,False
3475,False
