,senior-level_skill
3244,0.0
2427,0.0
2599,0.0
2464,0.0
2938,0.0
2317,0.0
3776,0.0
3820,0.0
3359,0.0
2149,0.0
2939,0.0
2258,0.0
3550,0.0
3234,0.0
3169,0.0
3929,0.0
3423,0.0
2069,0.0
3436,0.0
2047,0.0
2802,0.0
3743,0.0
2102,0.0
2237,0.0
3757,0.0
2284,0.0
2887,0.0
2330,0.0
2542,0.0
2772,0.0
3749,0.0
3031,0.0
2784,0.0
3930,0.0
3809,0.0
3444,0.0
2213,0.0
2242,0.0
3870,0.0
3152,0.0
3081,0.0
2143,0.0
3071,0.0
3980,0.0
2234,0.0
2302,0.0
3967,0.0
3666,0.0
2393,0.0
3769,0.0
2812,0.0
3567,0.0
3248,0.0
3020,0.0
3896,0.0
2437,0.0
2166,0.0
3113,0.0
3400,0.0
2318,0.0
3534,0.0
3503,0.0
2743,0.0
3119,0.0
3498,0.0
3897,0.0
3721,0.0
3702,0.0
3130,0.0
3836,0.0
3658,0.0
2431,0.0
3707,0.0
3615,0.0
3014,0.0
2614,0.0
3142,0.0
2475,0.0
3971,0.0
2179,0.0
3096,0.0
2776,0.0
2918,0.0
3563,0.0
2005,0.0
3864,0.0
3763,0.0
2288,0.0
2954,0.0
2292,0.0
3296,0.0
3197,0.0
2621,0.0
3464,0.0
3700,0.0
3619,0.0
2523,0.0
3921,0.0
2109,0.0
3885,0.0
3794,0.0
2928,0.0
3056,0.0
2332,0.0
2777,0.0
3078,0.0
2660,0.0
2051,0.0
3543,0.0
3544,0.0
3635,0.0
3183,0.0
3068,0.0
2367,0.0
3642,0.0
3625,0.0
2061,0.0
3133,0.0
3875,0.0
2441,0.0
2688,0.0
3231,0.0
2403,0.0
2165,0.0
2933,0.0
2146,0.0
2625,0.0
3850,0.0
2252,0.0
3077,0.0
3295,0.0
2445,0.0
2902,0.0
2137,0.0
3770,0.0
2747,0.0
3046,0.0
2658,0.0
2270,0.0
3796,0.0
2071,0.0
3920,0.0
3645,0.0
2729,0.0
2185,0.0
3855,0.0
3377,0.0
3237,0.0
2687,0.0
2858,0.0
3952,0.0
2764,0.0
3816,0.0
2426,0.0
2009,0.0
3324,0.0
3992,0.0
3966,0.0
3777,0.0
3301,0.0
2027,0.0
2884,0.0
2192,0.0
2767,0.0
2578,0.0
3524,0.0
3350,0.0
2804,0.0
3761,0.0
3813,0.0
3372,0.0
3044,0.0
2730,0.0
2418,0.0
3147,0.0
3482,0.0
3754,0.0
2141,0.0
2662,0.0
3055,0.0
3742,0.0
3696,0.0
2422,0.0
2681,0.0
2052,0.0
3914,0.0
3986,0.0
3998,0.0
2171,0.0
2204,0.0
2896,0.0
2752,0.0
2346,0.0
3344,0.0
3778,0.0
3414,0.0
2865,0.0
2994,0.0
2285,0.0
2300,0.0
