ix,goal_cost,intv_cost
2199,1.0,0.1857
3963,1.0,0.18510000000000001
3228,1.0,0.08120000000000001
3129,1.0,0.1825
3693,1.0,0.1842
3040,1.0,0.18330000000000002
3600,1.0,0.1824
3163,1.0,0.0834
2942,1.0,0.1831
3487,1.0,0.1822
3107,1.0,0.2827
3011,1.0,0.1839
2401,1.0,0.18280000000000002
2315,1.0,0.08370000000000001
2602,1.0,0.183
2252,1.0,0.1825
3179,1.0,0.2828
2495,1.0,0.18560000000000001
2327,1.0,0.38420000000000004
2349,1.0,0.0848
2422,1.0,0.1845
3392,1.0,0.1825
3428,1.0,0.08460000000000001
2833,1.0,0.1839
3259,1.0,0.1839
3809,1.0,0.1844
2253,1.0,0.184
2760,1.0,0.185
3439,1.0,0.08410000000000001
3477,1.0,0.08370000000000001
2434,1.0,0.1842
2538,1.0,0.08410000000000001
3667,1.0,0.18560000000000001
3635,1.0,0.1834
3038,1.0,0.18430000000000002
3830,1.0,0.18430000000000002
2751,1.0,0.18580000000000002
3637,1.0,0.18280000000000002
2075,1.0,0.18460000000000001
2213,1.0,0.1831
3421,1.0,0.18380000000000002
3000,1.0,0.0828
2210,1.0,0.1842
3197,1.0,0.18560000000000001
3364,1.0,0.184
2624,1.0,0.183
3504,1.0,0.0833
3041,1.0,0.1844
3261,1.0,0.1847
3230,1.0,0.1841
3384,1.0,0.18510000000000001
3414,1.0,0.18580000000000002
2147,1.0,0.18580000000000002
3086,1.0,0.18560000000000001
2326,1.0,0.18480000000000002
3629,1.0,0.18430000000000002
2526,1.0,0.18530000000000002
2413,1.0,0.1845
2377,1.0,0.1847
3660,1.0,0.18530000000000002
3626,1.0,0.0845
3202,1.0,0.184
2324,1.0,0.084
3853,1.0,0.1849
3007,1.0,0.0843
2799,1.0,0.0826
3581,1.0,0.1825
3365,1.0,0.1835
3918,1.0,0.1834
3374,1.0,0.0847
3792,1.0,0.1831
2330,1.0,0.183
2459,1.0,0.18280000000000002
3075,1.0,0.18230000000000002
3508,1.0,0.28290000000000004
2424,1.0,0.1832
3312,1.0,0.1837
3702,1.0,0.1835
3125,1.0,0.1832
2435,1.0,0.1827
3631,1.0,0.18380000000000002
2299,1.0,0.1826
3255,1.0,0.1849
2764,1.0,0.1847
3632,1.0,0.2816
2097,1.0,0.18460000000000001
3237,1.0,0.1829
3345,1.0,0.0826
3263,1.0,0.085
3591,1.0,0.1832
3640,1.0,0.18480000000000002
3818,1.0,0.1829
2290,1.0,0.1832
2729,1.0,0.1835
2550,1.0,0.28340000000000004
3808,1.0,0.1835
3327,1.0,0.18430000000000002
2851,1.0,0.083
3216,1.0,0.1842
3588,1.0,0.18330000000000002
2026,1.0,0.1834
3630,1.0,0.1845
3169,1.0,0.28400000000000003
2746,1.0,0.1855
2452,1.0,0.1839
3685,1.0,0.1844
3819,1.0,0.083
2079,1.0,0.1855
3547,1.0,0.3829
2405,1.0,0.1852
2992,1.0,0.1844
2512,1.0,0.1842
3401,1.0,0.1842
2490,1.0,0.1845
2979,1.0,0.1826
3476,1.0,0.0815
3234,1.0,0.1844
2273,1.0,0.1829
3737,1.0,0.18480000000000002
2351,1.0,0.0819
2283,1.0,0.1855
3874,1.0,0.3819
2016,1.0,0.185
3774,1.0,0.18230000000000002
3821,1.0,0.1852
2475,1.0,0.1832
3406,1.0,0.1829
3621,1.0,0.08360000000000001
3561,1.0,0.1839
2842,1.0,0.0813
3429,1.0,0.08360000000000001
3256,1.0,0.1847
2506,1.0,0.1836
2989,1.0,0.2931
3219,1.0,0.08460000000000001
3688,1.0,0.1835
3798,1.0,0.1835
2663,1.0,0.08310000000000001
3678,1.0,0.1857
3379,1.0,0.18230000000000002
2301,1.0,0.182
3438,1.0,0.1836
2302,1.0,0.1837
3162,1.0,0.1825
2241,1.0,0.1841
2714,1.0,0.185
2138,1.0,0.1835
2703,1.0,0.1836
3293,1.0,0.18330000000000002
3854,1.0,0.08360000000000001
3549,1.0,0.084
3977,1.0,0.1847
3888,1.0,0.1842
3088,1.0,0.1844
2927,1.0,0.18330000000000002
3569,1.0,0.08320000000000001
2803,1.0,0.1844
2516,1.0,0.18560000000000001
2202,1.0,0.1845
3959,1.0,0.18330000000000002
3109,1.0,0.183
2292,1.0,0.18330000000000002
3322,1.0,0.1826
3763,1.0,0.18280000000000002
3493,1.0,0.183
3984,1.0,0.184
2455,1.0,0.1837
3431,1.0,0.185
2820,1.0,0.1819
3951,1.0,0.18150000000000002
2702,1.0,0.183
2248,1.0,0.1847
2915,1.0,0.184
3813,1.0,0.08310000000000001
2028,1.0,0.18330000000000002
3955,1.0,0.1834
2073,1.0,0.1827
2907,1.0,0.1821
3597,1.0,0.08310000000000001
3285,1.0,0.1835
2103,1.0,0.18460000000000001
2270,1.0,0.2823
2682,1.0,0.184
3555,1.0,0.1847
3275,1.0,0.1825
3790,1.0,0.1834
2779,1.0,0.1835
2662,1.0,0.1829
3661,1.0,0.1852
2750,1.0,0.18230000000000002
3841,1.0,0.6811
3954,1.0,0.185
3704,1.0,0.1844
2189,1.0,0.1832
3800,1.0,0.1829
2331,1.0,0.1825
2642,1.0,0.1826
2256,1.0,0.1831
2274,1.0,0.1841
3605,1.0,0.1832
