,senior-level_skill
2199,0.0
3963,0.0
3228,0.0
3129,0.0
3693,0.0
3040,0.0
3600,0.0
3163,0.0
2942,0.0
3487,0.0
3107,0.0
3011,0.0
2401,0.0
2315,0.0
2602,0.0
2252,0.0
3179,0.0
2495,0.0
2327,0.0
2349,0.0
2422,0.0
3392,0.0
3428,0.0
2833,0.0
3259,0.0
3809,0.0
2253,0.0
2760,0.0
3439,0.0
3477,0.0
2434,0.0
2538,0.0
3667,0.0
3635,0.0
3038,0.0
3830,0.0
2751,0.0
3637,0.0
2075,0.0
2213,0.0
3421,0.0
3000,0.0
2210,0.0
3197,0.0
3364,0.0
2624,0.0
3504,0.0
3041,0.0
3261,0.0
3230,0.0
3384,0.0
3414,0.0
2147,0.0
3086,0.0
2326,0.0
3629,0.0
2526,0.0
2413,0.0
2377,0.0
3660,0.0
3626,0.0
3202,0.0
2324,0.0
3853,0.0
3007,0.0
2799,0.0
3581,0.0
3365,0.0
3918,0.0
3374,0.0
3792,0.0
2330,0.0
2459,0.0
3075,0.0
3508,0.0
2424,0.0
3312,0.0
3702,0.0
3125,0.0
2435,0.0
3631,0.0
2299,0.0
3255,0.0
2764,0.0
3632,0.0
2097,0.0
3237,0.0
3345,0.0
3263,0.0
3591,0.0
3640,0.0
3818,0.0
2290,0.0
2729,0.0
2550,0.0
3808,0.0
3327,0.0
2851,0.0
3216,0.0
3588,0.0
2026,0.0
3630,0.0
3169,0.0
2746,0.0
2452,0.0
3685,0.0
3819,0.0
2079,0.0
3547,0.0
2405,0.0
2992,0.0
2512,0.0
3401,0.0
2490,0.0
2979,0.0
3476,0.0
3234,0.0
2273,0.0
3737,0.0
2351,0.0
2283,0.0
3874,0.0
2016,0.0
3774,0.0
3821,0.0
2475,0.0
3406,0.0
3621,0.0
3561,0.0
2842,0.0
3429,0.0
3256,0.0
2506,0.0
2989,0.0
3219,0.0
3688,0.0
3798,0.0
2663,0.0
3678,0.0
3379,0.0
2301,0.0
3438,0.0
2302,0.0
3162,0.0
2241,0.0
2714,0.0
2138,0.0
2703,0.0
3293,0.0
3854,0.0
3549,0.0
3977,0.0
3888,0.0
3088,0.0
2927,0.0
3569,0.0
2803,0.0
2516,0.0
2202,0.0
3959,0.0
3109,0.0
2292,0.0
3322,0.0
3763,0.0
3493,0.0
3984,0.0
2455,0.0
3431,0.0
2820,0.0
3951,0.0
2702,0.0
2248,0.0
2915,0.0
3813,0.0
2028,0.0
3955,0.0
2073,0.0
2907,0.0
3597,0.0
3285,0.0
2103,0.0
2270,0.0
2682,0.0
3555,0.0
3275,0.0
3790,0.0
2779,0.0
2662,0.0
3661,0.0
2750,0.0
3841,0.0
3954,0.0
3704,0.0
2189,0.0
3800,0.0
2331,0.0
2642,0.0
2256,0.0
2274,0.0
3605,0.0
