,years_experience,degree,nr_commits,nr_languages,nr_stars
3804,0.0,2.0,844.0,16.0,3.0
2892,2.0,0.0,845.0,7.0,10.0
2672,0.0,0.0,1856.0,1.0,2.0
3110,0.0,2.0,848.0,6.0,3.0
2532,2.0,0.0,1858.0,4.0,1.0
3206,3.0,0.0,1857.0,5.0,5.0
2666,0.0,1.0,1852.0,4.0,6.0
3797,2.0,0.0,1854.0,3.0,6.0
3880,1.0,1.0,1860.0,6.0,6.0
3535,2.0,0.0,1858.0,1.0,1.0
3853,1.0,0.0,1857.0,1.0,3.0
3645,4.0,0.0,2872.0,2.0,6.0
3508,4.0,0.0,2863.0,12.0,5.0
3591,2.0,0.0,1862.0,6.0,2.0
2400,1.0,1.0,846.0,6.0,10.0
3157,1.0,2.0,850.0,4.0,1.0
2256,3.0,0.0,1860.0,4.0,2.0
3476,2.0,1.0,1854.0,9.0,11.0
2927,2.0,1.0,1858.0,6.0,5.0
3230,1.0,0.0,1855.0,5.0,4.0
3764,1.0,1.0,1863.0,1.0,4.0
2624,3.0,0.0,2872.0,14.0,0.0
2508,2.0,2.0,846.0,1.0,2.0
3109,2.0,0.0,1858.0,4.0,2.0
3573,1.0,0.0,1859.0,1.0,4.0
3831,1.0,0.0,842.0,0.0,10.0
3854,1.0,2.0,843.0,7.0,3.0
2760,1.0,1.0,1857.0,4.0,0.0
2228,1.0,1.0,1858.0,5.0,3.0
3839,1.0,0.0,1857.0,2.0,8.0
3792,2.0,0.0,1856.0,4.0,3.0
3369,2.0,0.0,1858.0,3.0,4.0
2377,1.0,1.0,1860.0,3.0,4.0
2997,1.0,0.0,2864.0,8.0,6.0
3433,3.0,1.0,1860.0,2.0,7.0
3702,2.0,0.0,1858.0,2.0,4.0
2523,0.0,0.0,1856.0,4.0,4.0
2270,4.0,0.0,2870.0,16.0,2.0
2623,1.0,0.0,1856.0,1.0,6.0
2651,1.0,0.0,1866.0,1.0,2.0
3739,3.0,0.0,1865.0,0.0,7.0
2365,0.0,0.0,1858.0,10.0,2.0
3060,3.0,0.0,2864.0,8.0,5.0
