,years_experience,degree,nr_commits,nr_languages,nr_stars
3569,1.0,1.0,849.0,5.0,12.0
2295,1.0,1.0,1857.0,1.0,0.0
2435,3.0,0.0,1859.0,5.0,4.0
2847,2.0,0.0,1858.0,1.0,0.0
3943,2.0,0.0,1858.0,2.0,2.0
3055,3.0,0.0,1848.0,11.0,11.0
3307,1.0,1.0,1863.0,9.0,3.0
3228,3.0,0.0,842.0,2.0,10.0
2805,2.0,0.0,1856.0,8.0,0.0
3014,0.0,2.0,848.0,6.0,3.0
3395,3.0,0.0,1857.0,5.0,4.0
3422,2.0,0.0,1856.0,4.0,4.0
3214,2.0,0.0,1858.0,10.0,4.0
2535,2.0,0.0,1861.0,13.0,3.0
3202,1.0,0.0,1854.0,4.0,1.0
2880,0.0,0.0,1858.0,3.0,0.0
3790,2.0,0.0,1858.0,8.0,6.0
2686,3.0,0.0,1859.0,13.0,3.0
3545,3.0,0.0,1861.0,0.0,5.0
2919,2.0,0.0,1863.0,4.0,0.0
2863,1.0,0.0,1863.0,6.0,1.0
2349,0.0,2.0,849.0,3.0,3.0
3392,2.0,0.0,1859.0,2.0,1.0
3017,0.0,1.0,1858.0,4.0,4.0
2839,1.0,1.0,1856.0,6.0,2.0
2248,1.0,1.0,1856.0,6.0,3.0
2746,0.0,0.0,1855.0,3.0,2.0
2279,0.0,0.0,1855.0,2.0,6.0
3574,1.0,0.0,1861.0,7.0,4.0
3272,2.0,0.0,1859.0,5.0,0.0
2463,1.0,0.0,1858.0,3.0,2.0
2921,1.0,0.0,1860.0,2.0,1.0
2775,1.0,1.0,1861.0,2.0,0.0
2647,1.0,0.0,1858.0,1.0,3.0
3880,1.0,1.0,1857.0,6.0,6.0
3407,1.0,0.0,1860.0,0.0,5.0
2272,1.0,0.0,1859.0,3.0,4.0
3667,0.0,1.0,1855.0,2.0,1.0
2706,2.0,0.0,1859.0,7.0,7.0
3681,2.0,0.0,1858.0,10.0,3.0
3398,0.0,2.0,844.0,3.0,6.0
2750,3.0,0.0,1858.0,5.0,8.0
3666,0.0,1.0,1860.0,1.0,2.0
3465,0.0,2.0,851.0,10.0,2.0
3629,1.0,1.0,1855.0,7.0,1.0
2302,2.0,0.0,1862.0,3.0,2.0
3298,2.0,0.0,1856.0,1.0,1.0
3678,0.0,0.0,1852.0,4.0,5.0
2495,1.0,0.0,1859.0,1.0,2.0
2316,1.0,0.0,852.0,14.0,10.0
2652,1.0,0.0,1867.0,5.0,7.0
