,u_years_experience,u_degree,u_senior-level_skill,u_nr_commits,u_nr_languages,u_nr_stars
2000,2.0,1.0,0.54166555,7.0,0.0,10.0
2001,1.0,2.0,0.5364032,4.0,3.0,17.0
2002,3.0,2.0,0.38658655,8.0,9.0,6.0
2003,1.0,2.0,0.22123611,2.0,1.0,2.0
2004,3.0,1.0,0.7780868,1.0,8.0,1.0
2005,1.0,2.0,0.9423593,2.0,14.0,2.0
2006,1.0,2.0,0.18786073,4.0,0.0,8.0
2007,4.0,2.0,0.6772344,4.0,5.0,4.0
2008,2.0,2.0,0.2923038,5.0,8.0,3.0
2009,3.0,0.0,0.536162,4.0,0.0,1.0
2010,4.0,1.0,0.55418205,6.0,2.0,3.0
2011,3.0,1.0,0.036870956,10.0,0.0,5.0
2012,5.0,2.0,0.72859395,4.0,5.0,2.0
2013,3.0,0.0,0.36139214,4.0,6.0,2.0
2014,1.0,1.0,0.35974467,5.0,1.0,2.0
2015,4.0,0.0,0.717432,3.0,0.0,5.0
2016,1.0,0.0,0.67478704,3.0,4.0,1.0
2017,3.0,2.0,0.4998144,3.0,0.0,9.0
2018,1.0,3.0,0.45143604,4.0,3.0,6.0
2019,2.0,1.0,0.82842016,3.0,3.0,3.0
2020,0.0,1.0,0.6298115,6.0,3.0,5.0
2021,4.0,1.0,0.5803002,3.0,0.0,3.0
2022,1.0,0.0,0.23581588,0.0,1.0,8.0
2023,4.0,2.0,0.80055654,3.0,9.0,7.0
2024,4.0,1.0,0.59302115,1.0,8.0,5.0
2025,3.0,0.0,0.33599555,4.0,0.0,2.0
2026,2.0,0.0,0.6980765,5.0,0.0,5.0
2027,4.0,3.0,0.23233259,4.0,10.0,6.0
2028,2.0,0.0,0.5075172,5.0,3.0,6.0
2029,5.0,3.0,0.2664956,6.0,8.0,5.0
2030,2.0,1.0,0.61272275,5.0,4.0,2.0
2031,2.0,0.0,0.99737334,6.0,7.0,2.0
2032,1.0,0.0,0.0219872,2.0,8.0,7.0
2033,10.0,0.0,0.22137034,2.0,5.0,1.0
2034,7.0,3.0,0.16193628,3.0,0.0,5.0
2035,2.0,0.0,0.42926097,2.0,6.0,8.0
2036,6.0,0.0,0.47554183,4.0,11.0,9.0
2037,3.0,1.0,0.5921763,4.0,5.0,4.0
2038,2.0,2.0,0.5405446,2.0,0.0,4.0
2039,3.0,2.0,0.82242227,1.0,0.0,2.0
2040,0.0,2.0,0.59744847,8.0,2.0,5.0
2041,1.0,1.0,0.08215487,4.0,6.0,9.0
2042,3.0,2.0,0.97241724,1.0,2.0,4.0
2043,4.0,0.0,0.1595838,2.0,4.0,5.0
2044,4.0,1.0,0.058776498,4.0,3.0,7.0
2045,2.0,2.0,0.38782728,1.0,5.0,9.0
2046,1.0,0.0,0.9374808,2.0,0.0,3.0
2047,0.0,2.0,0.92245877,4.0,2.0,3.0
2048,3.0,0.0,0.36797845,4.0,2.0,1.0
2049,2.0,0.0,0.03690803,7.0,3.0,2.0
2050,1.0,0.0,0.4434557,5.0,3.0,6.0
2051,3.0,1.0,0.82457054,6.0,3.0,5.0
2052,3.0,2.0,0.5289806,2.0,1.0,5.0
2053,2.0,2.0,0.7766932,5.0,7.0,4.0
2054,4.0,0.0,0.5387794,3.0,6.0,8.0
2055,6.0,2.0,0.13360858,3.0,3.0,4.0
2056,3.0,0.0,0.65794003,5.0,16.0,3.0
2057,5.0,2.0,0.122160316,5.0,5.0,7.0
2058,3.0,2.0,0.1438551,4.0,0.0,3.0
2059,3.0,2.0,0.67183983,4.0,4.0,2.0
2060,10.0,3.0,0.9708935,6.0,1.0,2.0
2061,2.0,1.0,0.3663926,6.0,0.0,3.0
2062,2.0,2.0,0.5734565,5.0,4.0,1.0
2063,3.0,3.0,0.69877625,2.0,3.0,3.0
2064,2.0,3.0,0.9480183,2.0,5.0,7.0
2065,2.0,1.0,0.63334846,5.0,0.0,6.0
2066,10.0,2.0,0.5649481,4.0,4.0,5.0
2067,1.0,0.0,0.5983442,10.0,1.0,4.0
2068,7.0,2.0,0.26257956,2.0,1.0,1.0
2069,3.0,3.0,0.50714695,7.0,1.0,9.0
2070,5.0,0.0,0.40390348,5.0,9.0,0.0
2071,6.0,2.0,0.40883124,1.0,6.0,3.0
2072,6.0,3.0,0.51257,2.0,0.0,3.0
2073,3.0,1.0,0.9645444,4.0,2.0,4.0
2074,2.0,1.0,0.45167065,2.0,7.0,1.0
2075,1.0,0.0,0.30298603,3.0,2.0,3.0
2076,2.0,3.0,0.4817425,3.0,5.0,3.0
2077,0.0,3.0,0.54220057,1.0,1.0,3.0
2078,1.0,1.0,0.14545703,3.0,4.0,3.0
2079,0.0,0.0,0.9804523,2.0,3.0,2.0
2080,6.0,3.0,0.36909568,4.0,3.0,3.0
2081,6.0,2.0,0.9530165,4.0,11.0,4.0
2082,7.0,2.0,0.27939475,4.0,3.0,4.0
2083,4.0,1.0,0.28903854,6.0,6.0,3.0
2084,1.0,0.0,0.9357413,4.0,2.0,9.0
2085,3.0,0.0,0.93228936,4.0,3.0,1.0
2086,2.0,1.0,0.41588938,5.0,4.0,0.0
2087,0.0,0.0,0.56721246,2.0,1.0,2.0
2088,3.0,3.0,0.15166748,2.0,5.0,4.0
2089,0.0,0.0,0.8510307,9.0,3.0,6.0
2090,1.0,0.0,0.59041154,2.0,7.0,4.0
2091,1.0,1.0,0.10672128,6.0,1.0,8.0
2092,4.0,1.0,0.76492965,5.0,3.0,3.0
2093,1.0,2.0,0.7857704,6.0,1.0,5.0
2094,3.0,2.0,0.5960622,5.0,3.0,2.0
2095,2.0,2.0,0.6774651,4.0,1.0,6.0
2096,2.0,1.0,0.8221663,4.0,3.0,1.0
2097,1.0,0.0,0.8952793,7.0,1.0,6.0
2098,2.0,1.0,0.9772861,7.0,6.0,1.0
2099,3.0,0.0,0.14833212,6.0,2.0,5.0
2100,4.0,2.0,0.7123351,2.0,3.0,1.0
2101,7.0,2.0,0.6083516,4.0,5.0,5.0
2102,1.0,0.0,0.4198773,3.0,3.0,4.0
2103,1.0,1.0,0.43865263,4.0,2.0,1.0
2104,1.0,2.0,0.8689548,2.0,3.0,3.0
2105,3.0,2.0,0.061029553,4.0,4.0,5.0
2106,7.0,1.0,0.7844739,5.0,1.0,3.0
2107,2.0,0.0,0.35428417,2.0,5.0,8.0
2108,4.0,3.0,0.84005797,7.0,6.0,1.0
2109,2.0,1.0,0.6035994,5.0,0.0,6.0
2110,4.0,3.0,0.73781586,3.0,3.0,2.0
2111,0.0,1.0,0.84720016,2.0,3.0,5.0
2112,5.0,3.0,0.4817108,8.0,2.0,5.0
2113,8.0,2.0,0.6500685,5.0,3.0,2.0
2114,1.0,2.0,0.20979261,2.0,3.0,3.0
2115,1.0,0.0,0.18209577,6.0,3.0,1.0
2116,2.0,2.0,0.28456926,6.0,10.0,10.0
2117,3.0,1.0,0.691358,2.0,12.0,6.0
2118,2.0,1.0,0.46767044,4.0,4.0,9.0
2119,3.0,2.0,0.5062766,6.0,11.0,5.0
2120,5.0,0.0,0.27262008,6.0,7.0,5.0
2121,6.0,2.0,0.7797507,5.0,2.0,2.0
2122,5.0,0.0,0.042354107,2.0,3.0,8.0
2123,2.0,1.0,0.45586753,4.0,4.0,6.0
2124,6.0,1.0,0.031389356,0.0,1.0,6.0
2125,1.0,0.0,0.20164406,7.0,12.0,1.0
2126,2.0,1.0,0.77329576,5.0,2.0,1.0
2127,9.0,1.0,0.05933082,5.0,9.0,5.0
2128,4.0,3.0,0.4758067,1.0,9.0,4.0
2129,5.0,0.0,0.45354247,2.0,5.0,5.0
2130,0.0,0.0,0.1968261,6.0,2.0,0.0
2131,3.0,0.0,0.5818957,4.0,5.0,4.0
2132,6.0,2.0,0.4367274,2.0,3.0,8.0
2133,5.0,3.0,0.68409634,3.0,4.0,9.0
2134,4.0,0.0,0.8727393,3.0,4.0,5.0
2135,2.0,1.0,0.5892621,3.0,6.0,0.0
2136,6.0,0.0,0.76239955,3.0,1.0,7.0
2137,1.0,1.0,0.8408253,2.0,11.0,7.0
2138,2.0,0.0,0.03554976,4.0,14.0,2.0
2139,0.0,1.0,0.83832884,4.0,5.0,6.0
2140,3.0,3.0,0.1403178,4.0,5.0,3.0
2141,6.0,1.0,0.42353976,2.0,7.0,4.0
2142,2.0,2.0,0.15843284,2.0,5.0,2.0
2143,5.0,0.0,0.617368,3.0,2.0,6.0
2144,3.0,1.0,0.14166129,3.0,2.0,6.0
2145,1.0,2.0,0.5688317,2.0,9.0,5.0
2146,1.0,2.0,0.5294596,4.0,5.0,3.0
2147,0.0,0.0,0.3076967,1.0,5.0,2.0
2148,4.0,1.0,0.93414474,8.0,0.0,4.0
2149,3.0,0.0,0.398983,8.0,2.0,2.0
2150,0.0,0.0,0.19583035,1.0,3.0,4.0
2151,3.0,0.0,0.17345452,5.0,1.0,7.0
2152,4.0,0.0,0.078683615,5.0,3.0,4.0
2153,6.0,0.0,0.5783279,2.0,3.0,4.0
2154,3.0,1.0,0.64589775,5.0,0.0,5.0
2155,3.0,2.0,0.39483166,3.0,1.0,0.0
2156,2.0,0.0,0.40398443,7.0,1.0,3.0
2157,5.0,0.0,0.63009,2.0,0.0,4.0
2158,5.0,2.0,0.4038887,5.0,14.0,3.0
