,years_experience,degree,nr_commits,nr_languages,nr_stars
3487,1.0,3.0,1012.0,2.0,12.0
2447,3.0,1.0,3032.0,4.0,16.0
2018,3.0,1.0,3034.0,3.0,11.0
3544,3.0,1.0,3033.0,2.0,12.0
2470,1.0,3.0,1013.0,13.0,20.0
2880,2.0,2.0,2026.0,7.0,16.0
2475,3.0,1.0,3034.0,4.0,16.0
2432,1.0,3.0,1011.0,2.0,12.0
2834,2.0,2.0,2023.0,4.0,14.0
3268,2.0,2.0,2025.0,1.0,11.0
2383,3.0,1.0,3035.0,3.0,20.0
2725,3.0,1.0,3032.0,9.0,13.0
2993,1.0,3.0,1013.0,7.0,13.0
3527,3.0,1.0,3031.0,1.0,13.0
2115,2.0,2.0,2023.0,8.0,16.0
2317,3.0,1.0,3034.0,2.0,14.0
2879,1.0,3.0,1015.0,2.0,10.0
3817,1.0,3.0,1018.0,3.0,13.0
2936,1.0,3.0,1014.0,6.0,11.0
3730,3.0,1.0,3035.0,4.0,15.0
3277,1.0,3.0,1015.0,6.0,13.0
3219,3.0,1.0,3032.0,4.0,12.0
2305,3.0,1.0,3033.0,1.0,13.0
2793,3.0,1.0,3031.0,9.0,17.0
2980,3.0,1.0,3043.0,3.0,20.0
2008,1.0,3.0,1013.0,1.0,13.0
3933,3.0,1.0,3040.0,2.0,10.0
3886,3.0,1.0,3036.0,5.0,15.0
2082,3.0,1.0,3033.0,4.0,14.0
2550,2.0,2.0,2023.0,5.0,20.0
2877,3.0,1.0,3037.0,3.0,12.0
2244,2.0,2.0,2025.0,2.0,13.0
3694,3.0,1.0,3037.0,3.0,17.0
2869,1.0,3.0,1013.0,1.0,11.0
3652,3.0,1.0,3037.0,6.0,14.0
3109,3.0,1.0,3036.0,2.0,29.0
3584,3.0,1.0,3037.0,3.0,16.0
3496,2.0,2.0,2025.0,1.0,12.0
2438,3.0,1.0,3032.0,2.0,14.0
2759,2.0,2.0,2021.0,7.0,13.0
2999,4.0,1.0,4046.0,6.0,16.0
3808,3.0,1.0,3039.0,2.0,12.0
2294,1.0,3.0,1017.0,6.0,14.0
2410,3.0,1.0,3033.0,6.0,14.0
2925,3.0,1.0,3034.0,7.0,17.0
3995,3.0,1.0,3032.0,3.0,12.0
2311,3.0,1.0,3031.0,4.0,16.0
2578,2.0,2.0,2025.0,2.0,15.0
3513,3.0,1.0,3031.0,5.0,13.0
2900,1.0,3.0,1018.0,17.0,10.0
3084,1.0,3.0,1013.0,4.0,15.0
2814,1.0,3.0,1013.0,1.0,11.0
2514,2.0,2.0,2025.0,6.0,16.0
3638,3.0,1.0,3031.0,5.0,13.0
2748,1.0,3.0,1018.0,5.0,16.0
2875,2.0,2.0,2025.0,9.0,11.0
3821,1.0,3.0,1012.0,2.0,21.0
2873,1.0,3.0,1013.0,7.0,17.0
2537,3.0,1.0,3033.0,6.0,21.0
3875,3.0,1.0,3031.0,2.0,12.0
3559,2.0,2.0,2026.0,4.0,14.0
3170,3.0,1.0,3037.0,2.0,12.0
2380,3.0,1.0,3033.0,2.0,16.0
2807,2.0,2.0,2021.0,11.0,14.0
3023,3.0,1.0,3035.0,5.0,12.0
2103,3.0,1.0,3035.0,4.0,13.0
2399,1.0,3.0,1013.0,7.0,11.0
2751,3.0,1.0,3034.0,6.0,14.0
2290,1.0,3.0,1016.0,4.0,10.0
2606,1.0,3.0,1014.0,9.0,12.0
2424,2.0,2.0,23.0,5.0,1.0
2160,3.0,1.0,3038.0,7.0,10.0
2790,3.0,1.0,3035.0,7.0,11.0
2030,3.0,1.0,3032.0,2.0,15.0
3712,2.0,2.0,2027.0,13.0,13.0
2254,3.0,1.0,3037.0,7.0,11.0
2362,3.0,1.0,3041.0,1.0,19.0
2988,2.0,2.0,2021.0,4.0,14.0
3840,1.0,3.0,1012.0,3.0,17.0
2171,3.0,1.0,3036.0,5.0,14.0
2014,1.0,3.0,1012.0,6.0,14.0
3083,1.0,3.0,1014.0,13.0,11.0
3056,3.0,1.0,3037.0,2.0,17.0
2885,3.0,1.0,36.0,6.0,3.0
2507,2.0,2.0,2030.0,1.0,11.0
3187,3.0,1.0,3033.0,11.0,12.0
3675,3.0,1.0,3030.0,2.0,11.0
2994,3.0,1.0,3035.0,3.0,18.0
3370,3.0,1.0,36.0,4.0,4.0
3252,1.0,3.0,1013.0,11.0,13.0
2813,5.0,0.0,5053.0,1.0,15.0
3553,3.0,1.0,3032.0,1.0,14.0
3654,1.0,3.0,1015.0,4.0,17.0
3194,2.0,2.0,2025.0,6.0,19.0
2259,1.0,3.0,1015.0,5.0,12.0
2555,3.0,1.0,3034.0,2.0,11.0
2899,1.0,2.0,1019.0,9.0,11.0
2322,2.0,2.0,2023.0,6.0,10.0
3207,1.0,3.0,1012.0,11.0,13.0
2611,3.0,1.0,3032.0,13.0,14.0
3969,3.0,1.0,3033.0,4.0,13.0
2652,1.0,3.0,1013.0,2.0,14.0
2910,3.0,1.0,3031.0,4.0,14.0
3358,3.0,1.0,3031.0,3.0,21.0
3962,1.0,3.0,1019.0,4.0,15.0
2100,2.0,2.0,2023.0,7.0,14.0
3129,3.0,1.0,3033.0,2.0,13.0
2636,3.0,1.0,3033.0,2.0,10.0
3982,1.0,3.0,1016.0,4.0,13.0
3800,3.0,1.0,3036.0,5.0,12.0
2558,2.0,2.0,2024.0,2.0,10.0
3492,1.0,3.0,1017.0,11.0,14.0
3238,4.0,1.0,4046.0,12.0,12.0
2349,2.0,2.0,2023.0,1.0,10.0
2461,3.0,1.0,3032.0,2.0,11.0
3714,1.0,3.0,1017.0,6.0,19.0
2764,2.0,2.0,2025.0,8.0,13.0
2049,3.0,1.0,3039.0,1.0,11.0
2334,1.0,3.0,1011.0,2.0,18.0
3312,2.0,2.0,2023.0,2.0,12.0
3631,1.0,3.0,1013.0,4.0,12.0
2053,3.0,1.0,3033.0,7.0,14.0
2094,3.0,1.0,3035.0,2.0,13.0
3754,2.0,2.0,2022.0,10.0,10.0
2328,2.0,2.0,2023.0,8.0,14.0
3429,3.0,1.0,3037.0,3.0,15.0
2684,3.0,1.0,3036.0,5.0,11.0
2565,3.0,1.0,3035.0,6.0,12.0
3355,1.0,3.0,1014.0,6.0,16.0
2263,3.0,1.0,3034.0,1.0,17.0
2264,3.0,1.0,3038.0,11.0,14.0
3037,3.0,1.0,3039.0,2.0,11.0
3945,3.0,1.0,3036.0,3.0,11.0
2091,2.0,2.0,2022.0,2.0,15.0
3147,1.0,3.0,1012.0,6.0,14.0
3741,1.0,3.0,1011.0,6.0,14.0
2052,3.0,1.0,3035.0,7.0,13.0
2785,3.0,1.0,3032.0,3.0,11.0
3473,3.0,1.0,3032.0,10.0,13.0
3961,3.0,1.0,3031.0,3.0,17.0
3330,3.0,1.0,3035.0,6.0,11.0
2473,4.0,1.0,4044.0,14.0,13.0
3665,3.0,1.0,3030.0,2.0,18.0
2440,3.0,1.0,3036.0,10.0,19.0
2265,1.0,3.0,1011.0,11.0,12.0
2236,3.0,1.0,3032.0,6.0,13.0
3512,3.0,1.0,3032.0,2.0,16.0
2219,2.0,2.0,2022.0,1.0,14.0
2417,3.0,1.0,3037.0,6.0,19.0
2173,1.0,3.0,1014.0,4.0,19.0
2300,1.0,3.0,1016.0,2.0,19.0
3690,1.0,3.0,1013.0,1.0,19.0
3142,1.0,3.0,1018.0,6.0,16.0
3466,1.0,3.0,1011.0,2.0,13.0
3604,2.0,2.0,2023.0,2.0,12.0
3156,3.0,1.0,3033.0,1.0,16.0
3955,3.0,1.0,3032.0,3.0,14.0
2500,1.0,3.0,1016.0,5.0,11.0
2613,1.0,3.0,1018.0,2.0,16.0
3012,1.0,3.0,1014.0,6.0,12.0
3419,3.0,1.0,36.0,6.0,0.0
3283,1.0,3.0,1014.0,13.0,18.0
3096,2.0,2.0,2022.0,2.0,15.0
2089,1.0,3.0,1013.0,4.0,15.0
3733,3.0,1.0,3033.0,8.0,15.0
2831,1.0,3.0,1012.0,5.0,13.0
