,years_experience,degree
3487,0.0,3.0
2447,0.0,1.0
2018,0.0,1.0
3544,1.0,1.0
2470,0.0,3.0
2880,0.0,2.0
2475,1.0,1.0
2432,0.0,1.0
2834,2.0,2.0
3268,2.0,0.0
2383,0.0,1.0
2725,0.0,1.0
2993,0.0,3.0
3527,0.0,1.0
2115,0.0,2.0
2317,1.0,0.0
2879,1.0,1.0
3817,1.0,2.0
2936,0.0,2.0
3730,3.0,0.0
3277,1.0,2.0
3219,1.0,1.0
2305,0.0,1.0
2793,0.0,1.0
2980,0.0,1.0
2008,1.0,3.0
3933,0.0,1.0
3886,1.0,1.0
2082,1.0,1.0
2550,2.0,2.0
2877,1.0,1.0
2244,1.0,1.0
3694,1.0,1.0
2869,0.0,3.0
3652,1.0,1.0
3109,0.0,1.0
3584,1.0,0.0
3496,2.0,1.0
2438,0.0,1.0
2759,1.0,2.0
2999,0.0,1.0
3808,0.0,1.0
2294,0.0,1.0
2410,0.0,1.0
2925,0.0,1.0
3995,1.0,1.0
2311,2.0,0.0
2578,0.0,2.0
3513,1.0,1.0
2900,1.0,3.0
3084,0.0,1.0
2814,0.0,3.0
2514,0.0,2.0
3638,2.0,1.0
2748,0.0,2.0
2875,1.0,2.0
3821,0.0,3.0
2873,1.0,3.0
2537,1.0,1.0
3875,1.0,1.0
3559,0.0,2.0
3170,0.0,1.0
2380,2.0,1.0
2807,0.0,1.0
3023,2.0,1.0
2103,1.0,1.0
2399,0.0,2.0
2751,0.0,1.0
2290,1.0,2.0
2606,1.0,1.0
2424,1.0,1.0
2160,1.0,1.0
2790,1.0,1.0
2030,3.0,0.0
3712,0.0,1.0
2254,2.0,0.0
2362,1.0,0.0
2988,0.0,2.0
3840,1.0,1.0
2171,2.0,0.0
2014,1.0,1.0
3083,0.0,2.0
3056,2.0,1.0
2885,2.0,1.0
2507,0.0,1.0
3187,1.0,1.0
3675,0.0,1.0
2994,0.0,1.0
3370,0.0,1.0
3252,0.0,3.0
2813,1.0,0.0
3553,2.0,0.0
3654,1.0,3.0
3194,0.0,2.0
2259,0.0,3.0
2555,1.0,1.0
2899,1.0,0.0
2322,0.0,2.0
3207,0.0,3.0
2611,0.0,1.0
3969,0.0,1.0
2652,0.0,2.0
2910,3.0,1.0
3358,1.0,1.0
3962,0.0,2.0
2100,0.0,1.0
3129,1.0,1.0
2636,1.0,1.0
3982,1.0,3.0
3800,3.0,0.0
2558,0.0,2.0
3492,0.0,3.0
3238,0.0,1.0
2349,0.0,2.0
2461,1.0,1.0
3714,1.0,3.0
2764,0.0,2.0
2049,1.0,1.0
2334,0.0,3.0
3312,1.0,1.0
3631,1.0,2.0
2053,1.0,1.0
2094,1.0,0.0
3754,2.0,2.0
2328,2.0,0.0
3429,0.0,1.0
2684,1.0,1.0
2565,0.0,1.0
3355,0.0,3.0
2263,1.0,1.0
2264,2.0,1.0
3037,0.0,1.0
3945,1.0,1.0
2091,2.0,0.0
3147,0.0,3.0
3741,1.0,2.0
2052,1.0,1.0
2785,3.0,1.0
3473,1.0,0.0
3961,1.0,1.0
3330,1.0,1.0
2473,0.0,1.0
3665,0.0,1.0
2440,1.0,1.0
2265,1.0,3.0
2236,0.0,1.0
3512,3.0,0.0
2219,0.0,2.0
2417,2.0,1.0
2173,0.0,3.0
2300,1.0,1.0
3690,1.0,3.0
3142,0.0,1.0
3466,0.0,3.0
3604,0.0,2.0
3156,0.0,1.0
3955,1.0,1.0
2500,1.0,1.0
2613,1.0,3.0
3012,0.0,3.0
3419,1.0,1.0
3283,0.0,3.0
3096,1.0,2.0
2089,0.0,2.0
3733,0.0,1.0
2831,0.0,2.0
2624,2.0,1.0
3058,0.0,3.0
3285,0.0,2.0
2196,0.0,3.0
3253,1.0,0.0
2351,1.0,0.0
2615,1.0,1.0
3528,1.0,2.0
2770,1.0,1.0
3848,1.0,2.0
3431,0.0,1.0
2747,1.0,0.0
2967,0.0,2.0
3476,0.0,1.0
2772,0.0,2.0
2110,1.0,3.0
2247,1.0,1.0
2761,0.0,3.0
2368,1.0,3.0
3169,2.0,1.0
2350,1.0,1.0
3851,0.0,2.0
2130,3.0,1.0
2405,2.0,1.0
3976,1.0,1.0
2753,0.0,1.0
2979,1.0,1.0
3414,0.0,1.0
2079,1.0,0.0
3634,0.0,1.0
3608,1.0,2.0
2700,1.0,3.0
3376,2.0,2.0
2626,0.0,1.0
