,senior-level_skill
3982,1.0
3426,1.0
3559,1.0
3004,1.0
2196,1.0
3635,1.0
3080,0.0
3084,1.0
2568,1.0
2805,1.0
3554,1.0
2895,1.0
2150,1.0
3143,1.0
3114,1.0
3314,1.0
3123,1.0
2444,1.0
2810,1.0
2677,1.0
2764,1.0
3009,1.0
3808,1.0
3254,1.0
2054,1.0
2516,1.0
3455,1.0
3875,1.0
3859,1.0
2126,1.0
3770,1.0
2365,1.0
2924,1.0
2751,1.0
3140,1.0
2753,1.0
2317,1.0
2879,1.0
2132,1.0
2011,1.0
3283,1.0
3448,1.0
2495,1.0
2748,1.0
3281,1.0
2039,1.0
2916,1.0
3268,1.0
2573,1.0
3553,1.0
3052,1.0
3652,1.0
2696,1.0
2770,1.0
3745,1.0
3599,1.0
3370,0.0
3794,1.0
3708,1.0
3320,1.0
3129,1.0
2578,1.0
3830,1.0
3177,1.0
3492,1.0
3970,1.0
3738,1.0
2212,1.0
2520,1.0
3677,1.0
2600,1.0
2908,1.0
3339,1.0
3219,1.0
2777,1.0
2785,1.0
3929,1.0
2704,1.0
2159,1.0
3881,1.0
2995,1.0
2461,1.0
2187,1.0
2822,1.0
2910,1.0
2843,1.0
3595,1.0
3560,1.0
2152,1.0
2279,0.0
2367,1.0
3955,1.0
2282,1.0
2472,1.0
3256,1.0
3132,0.0
2351,1.0
2606,1.0
2219,1.0
2814,1.0
3920,1.0
3686,1.0
3546,1.0
3377,1.0
2876,1.0
3840,1.0
3823,1.0
2525,1.0
2154,1.0
3805,1.0
2542,1.0
2135,1.0
2595,1.0
2244,1.0
2969,1.0
2813,1.0
3366,1.0
2648,1.0
2078,1.0
3825,1.0
2715,1.0
2831,1.0
2465,1.0
3953,1.0
3028,1.0
3631,1.0
2130,1.0
3573,1.0
2981,1.0
3154,1.0
2892,1.0
3073,1.0
3998,1.0
3171,1.0
2873,1.0
2491,1.0
3548,1.0
3358,1.0
2247,0.0
2226,1.0
3697,1.0
2399,1.0
2280,1.0
2550,1.0
3364,1.0
3857,1.0
3891,1.0
3804,1.0
2065,1.0
2738,1.0
3606,1.0
2349,1.0
2290,1.0
3886,1.0
2440,1.0
3355,1.0
3744,1.0
3757,1.0
3493,1.0
3706,1.0
3742,1.0
2143,1.0
3811,1.0
2999,1.0
2759,1.0
2725,1.0
2500,1.0
2429,1.0
3420,1.0
2321,1.0
3330,1.0
2994,1.0
2462,0.0
2356,0.0
3410,1.0
2857,1.0
3245,1.0
2081,1.0
2877,1.0
2514,1.0
2085,1.0
3340,1.0
2655,1.0
3303,1.0
2712,1.0
2211,1.0
2291,1.0
2203,1.0
2254,1.0
2195,1.0
2362,1.0
3409,1.0
2793,1.0
3187,1.0
3290,1.0
2415,1.0
2501,0.0
3454,1.0
3476,1.0
2173,1.0
