r_type,t_type,years_experience_mean,degree_mean,nr_commits_mean,nr_languages_mean,nr_stars_mean,causes_mean,non-causes_mean,years_experience_std,degree_std,nr_commits_std,nr_languages_std,nr_stars_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.0,0.0,1003.0996801346802,0.0,2.0316666666666667,0.0,1005.1313468013468,0.0,0.0,62.99635150413232,0.0,3.5189498907107684,0.0,59.95442215337123,0.75
individualized,acceptance,0.0,0.0,983.2933333333334,0.0,0.011666666666666667,0.0,983.305,0.0,0.0,46.48426006008195,0.0,0.020207259421636904,0.0,46.476420634554,0.75
individualized,acceptance,0.0,0.0,1173.1678282828282,0.0067003367003367,0.7253535353535353,0.0,1173.899882154882,0.0,0.0,261.0252851224186,0.005802881584483324,1.1962395292437775,0.0,262.2215288789563,0.85
individualized,acceptance,0.0,0.0,1070.7883333333334,-0.2816666666666667,0.024999999999999998,0.0,1070.5316666666668,0.0,0.0,131.3393907338288,0.4921974536030569,0.03122498999199199,0.0,130.9004973570893,0.9
individualized,acceptance,0.0,0.0,1231.880622895623,0.0016666666666666668,0.093989898989899,0.0,1231.9762794612795,0.0,0.0,405.8587391894088,0.002886751345948129,0.09674646812142551,0.0,405.837978952456,0.9
individualized,acceptance,0.0,0.0,1211.8974539363483,0.0,0.33996649916247906,0.0,1212.2374204355108,0.0,0.0,340.0179707735606,0.0,0.5542884463516069,0.0,340.56284360667553,0.9499999999999998
individualized,acceptance,0.0,0.0,1388.7566666666664,0.0033333333333333335,0.40166666666666667,0.0,1389.1616666666666,0.0,0.0,341.20764093632675,0.005773502691896258,0.34986902311198304,0.0,341.554542142735,0.9499999999999998
subpopulation,acceptance,0.0,0.0,990.8450000000001,0.0,1.968333333333333,0.0,992.8133333333334,0.0,0.0,110.8511628265577,0.0,3.357425849268057,0.0,108.86505480792876,0.75
subpopulation,acceptance,0.0,0.0,998.0425,0.0025,0.0125,0.0,998.0575,0.0,0.0,35.45786954259941,0.0035355339059327377,0.010606601717798213,0.0,35.4437274069757,0.75
subpopulation,acceptance,0.0,0.0,1244.6175,0.0,1.0875000000000001,0.0,1245.705,0.0,0.0,370.00422985757876,0.0,1.5167440456451446,0.0,371.520973903224,0.85
subpopulation,acceptance,0.0,0.0,1150.345,-0.3525,0.0075,0.0,1150.0,0.0,0.0,231.90981102575194,0.498510280736516,0.010606601717798213,0.0,231.40069414329767,0.9
subpopulation,acceptance,0.0,0.0,1254.4346733668342,0.0,0.08033500837520939,0.0,1254.5150083752094,0.0,0.0,442.74606853600505,0.0,0.1063999046376911,0.0,442.69279607333374,0.9
subpopulation,acceptance,0.0,0.0,1179.9716666666666,0.0,0.4066666666666667,0.0,1180.3783333333333,0.0,0.0,322.6592457350841,0.0,0.7043673284113434,0.0,323.36188420766814,0.9499999999999998
subpopulation,acceptance,0.0,0.0,1284.4424999999999,0.0175,0.3125,0.0,1284.7724999999998,0.0,0.0,464.58683290909136,0.024748737341529166,0.42072853480599576,0.0,464.98281270655576,0.9499999999999998
individualized,counterfactual,0.0,0.0,992.6542211055277,0.0,2.0650167504187604,0.0,994.7192378559463,0.0,0.0,133.27084884341048,0.0,3.568013695953263,0.0,130.62054367762016,0.75
