,y_hat
14787,False
10669,False
15678,False
12225,False
17592,False
13191,False
11880,False
10933,False
16504,False
10475,False
15877,False
19789,False
18041,False
11859,False
18691,False
11621,False
12057,False
17267,False
16277,False
19835,False
16921,False
18078,False
10563,False
18428,False
13601,False
12737,False
16657,False
10884,False
16103,False
18184,False
19741,False
15647,False
16545,False
13475,False
10815,False
15514,False
16622,False
12316,False
11266,False
13943,False
15503,False
14144,False
10332,False
18652,False
14965,False
18810,False
12843,False
17800,False
12123,False
16379,False
14533,False
11654,False
12307,False
15990,False
11444,False
13318,False
11351,False
18695,False
12476,False
18740,False
16937,False
13736,False
14724,False
13411,False
12517,False
13010,False
12430,False
11658,False
13432,False
14315,False
16620,False
15692,False
19200,False
16876,False
17168,False
10496,False
12519,False
15385,False
15356,False
14337,False
19962,False
19689,False
10319,False
19664,False
15977,False
16565,False
15618,False
18513,False
17371,False
10161,False
16925,False
12637,False
13789,False
12163,False
13561,False
16343,False
19148,False
13104,False
10033,False
16741,False
13398,False
19084,False
18748,False
14564,False
16432,False
15231,False
15261,False
19454,False
13844,False
11044,False
15109,False
19079,False
10329,False
16132,False
11673,False
14954,False
18157,False
16621,False
14799,False
14639,False
10757,False
16322,False
17443,False
12291,False
12749,False
17993,False
15722,False
16479,False
14182,False
13501,False
11220,False
11862,False
19604,False
10048,False
19229,False
17516,False
10523,False
19679,False
17641,False
13898,False
12013,False
18654,False
14771,False
16988,False
14808,False
19082,False
12998,False
12024,False
10414,False
12001,False
16089,False
17979,False
12688,False
14159,False
16292,False
15716,False
11803,False
15546,False
10126,False
11519,False
17056,False
16709,False
11540,False
11046,False
10617,False
10969,False
14590,False
19976,False
12004,False
17464,False
10116,False
14264,False
13382,False
12798,False
17659,False
16497,False
19721,False
17902,False
15813,False
12219,False
18887,False
19121,False
12402,False
11257,False
16815,False
16835,False
16156,False
14336,False
17305,False
15792,False
10200,False
13780,False
18968,False
12191,False
18670,False
13755,False
12524,False
18250,False
15588,False
17436,False
