ix,goal_cost,intv_cost
13295,1.0,0.30000000000000004
13731,0.942,0.1
19820,1.0,0.2
10884,1.0,0.6
13312,1.0,0.3
16733,1.0,0.9
14799,0.752,0.6
12998,1.0,0.7
12548,1.0,1.0
16132,1.0,0.4
15919,1.0,0.4
15231,1.0,1.0
12004,1.0,0.1
15524,1.0,0.2
19665,1.0,0.4
15621,1.0,0.9
16277,1.0,0.1
18826,1.0,0.5
17922,1.0,0.4
16342,1.0,0.2
12961,1.0,0.9
16432,1.0,0.6
12930,1.0,1.0
15813,1.0,0.2
18636,0.79,0.1
13280,0.822,0.1
17056,1.0,0.9
13363,1.0,0.6
19721,1.0,0.2
13278,1.0,0.5
12486,1.0,0.7
15547,1.0,0.2
14146,1.0,0.6
16515,1.0,0.3
16058,1.0,0.9
15877,1.0,0.8
15978,1.0,0.6
11270,1.0,0.3
12405,1.0,0.5
18704,1.0,0.4
18661,1.0,0.9
11510,1.0,0.1
16925,1.0,0.1
15848,1.0,0.8
14555,1.0,0.2
19204,1.0,0.3
19299,1.0,0.8
16351,1.0,0.6
14531,1.0,0.1
14063,1.0,0.6
18052,1.0,0.1
17061,1.0,0.5
10269,1.0,0.1
17277,1.0,0.9
16154,1.0,0.4
10815,1.0,0.4
14741,1.0,0.5
17063,1.0,0.2
14291,1.0,0.1
19718,1.0,1.0
11320,1.0,0.6
10688,1.0,0.8
16549,1.0,0.8
18438,1.0,0.1
18197,1.0,0.7
13018,1.0,0.5
16292,1.0,1.0
18080,1.0,0.4
10126,1.0,0.5
12469,1.0,0.6
13656,1.0,1.0
13517,1.0,0.2
16796,1.0,0.2
16545,1.0,0.5
10999,1.0,0.3
11132,1.0,0.1
18689,1.0,1.1
18101,1.0,1.0
18580,1.0,0.7
19955,1.0,0.3
13895,1.0,0.4
11665,1.0,0.1
16504,1.0,0.7
16186,1.0,0.7999999999999999
18118,1.0,0.8
12316,1.0,1.0
16612,1.0,0.9
15588,1.0,0.9
10127,1.0,0.3
11581,1.0,0.4
14879,1.0,0.2
13500,1.0,0.6
15309,1.0,0.8
16089,1.0,0.1
17632,1.0,0.3
15417,1.0,0.4
11951,1.0,0.6
14264,1.0,0.1
18843,1.0,0.8
14119,1.0,0.9
10065,1.0,0.2
14771,1.0,0.8
12052,1.0,1.0
17457,1.0,1.0
14682,1.0,0.4
18467,1.0,0.3
10435,1.0,0.7
12216,1.0,0.4
14828,0.944,0.1
11377,1.0,0.3
18654,1.0,0.3
15249,1.0,0.1
11984,1.0,0.6
13631,1.0,0.8
16246,0.804,0.1
12191,1.0,0.7
17239,1.0,0.3
13797,1.0,0.3
15229,1.0,1.0
16190,1.0,1.0
12184,1.0,0.2
16472,1.0,1.0
14353,1.0,0.3
15298,1.0,1.0
14289,1.0,0.5
17855,1.0,1.0
16528,1.0,0.2
10424,1.0,0.7
16621,1.0,0.4
12322,1.0,0.9
14533,1.0,0.4
13501,1.0,0.1
17516,1.0,0.4
15503,0.792,0.1
16989,1.0,1.0
15767,0.816,0.1
10848,0.754,0.2
19198,1.0,0.3
17305,1.0,0.1
10116,1.0,0.1
18480,1.0,0.9
18971,1.0,0.1
14002,1.0,0.1
12291,1.0,0.1
11175,1.0,0.4
15324,1.0,0.4
13082,1.0,0.2
16602,1.0,0.2
12721,0.868,0.1
14788,1.0,0.1
16706,1.0,1.0
19679,1.0,0.1
19856,1.0,0.8
16921,1.0,0.7
12336,1.0,1.0
11540,1.0,0.7
18956,1.0,0.3
17567,1.0,0.7999999999999999
16025,1.0,0.2
18412,1.0,0.7
19689,1.0,0.2
10320,1.0,1.0
17592,1.0,0.7
10326,1.0,0.9
16565,1.0,0.9
19339,0.766,0.4
10000,1.0,1.0
12534,1.0,0.4
11937,1.0,1.0
18817,0.84,0.1
10738,1.0,0.5
18099,1.0,0.4
12789,1.0,0.2
18637,0.928,0.1
19286,1.0,0.6
12991,1.0,0.1
11667,1.0,0.3
19795,1.0,0.7
19058,1.0,0.6
16315,1.0,0.8
10377,1.0,0.4
15780,1.0,0.7
15265,1.0,0.2
15397,1.0,0.1
14011,1.0,0.3
19921,1.0,0.2
11326,1.0,0.3
19234,1.0,0.8
17665,1.0,0.1
13760,0.776,0.1
11532,1.0,0.5
15886,1.0,0.9
12014,1.0,0.9
12586,1.0,0.8
19229,1.0,0.9
18968,1.0,0.4
13138,1.0,0.1
15664,1.0,0.4
17240,1.0,0.4
11220,1.0,0.1
