,y_hat
13295,False
13731,False
19820,False
10884,False
13312,False
16733,False
14799,False
12998,False
12548,False
16132,False
15919,False
15231,False
12004,False
15524,False
19665,False
15621,False
16277,False
18826,False
17922,False
16342,False
12961,False
16432,False
12930,False
15813,False
18636,False
13280,False
17056,False
13363,False
19721,False
13278,False
12486,False
15547,False
14146,False
16515,False
16058,False
15877,False
15978,False
11270,False
12405,False
18704,False
18661,False
11510,False
16925,False
15848,False
14555,False
19204,False
19299,False
16351,False
14531,False
14063,False
18052,False
17061,False
10269,False
17277,False
16154,False
10815,False
14741,False
17063,False
14291,False
19718,False
11320,False
10688,False
16549,False
18438,False
18197,False
13018,False
16292,False
18080,False
10126,False
12469,False
13656,False
13517,False
16796,False
16545,False
10999,False
11132,False
18689,False
18101,False
18580,False
19955,False
13895,False
11665,False
16504,False
16186,False
18118,False
12316,False
16612,False
15588,False
10127,False
11581,False
14879,False
13500,False
15309,False
16089,False
17632,False
15417,False
11951,False
14264,False
18843,False
14119,False
10065,False
14771,False
12052,False
17457,False
14682,False
18467,False
10435,False
12216,False
14828,False
11377,False
18654,False
15249,False
11984,False
13631,False
16246,False
12191,False
17239,False
13797,False
15229,False
16190,False
12184,False
16472,False
14353,False
15298,False
14289,False
17855,False
16528,False
10424,False
16621,False
12322,False
14533,False
13501,False
17516,False
15503,False
16989,False
15767,False
10848,False
19198,False
17305,False
10116,False
18480,False
18971,False
14002,False
12291,False
11175,False
15324,False
13082,False
16602,False
12721,False
14788,False
16706,False
19679,False
19856,False
16921,False
12336,False
11540,False
18956,False
17567,False
16025,False
18412,False
19689,False
10320,False
17592,False
10326,False
16565,False
19339,False
10000,False
12534,False
11937,False
18817,False
10738,False
18099,False
12789,False
18637,False
19286,False
12991,False
11667,False
19795,False
19058,False
16315,False
10377,False
15780,False
15265,False
15397,False
14011,False
19921,False
11326,False
19234,False
17665,False
13760,False
11532,False
15886,False
12014,False
12586,False
19229,False
18968,False
13138,False
15664,False
17240,False
11220,False
