ix,goal_cost,intv_cost
18412,0.764,1.7
12688,0.8119999766349792,0.5
17625,0.756,1.2
14867,0.8679999709129333,2.0
13354,0.843999981880188,2.0
13649,0.754,1.4000000000000001
19112,0.8,0.2
17558,0.902,1.1
15622,0.95,0.1
10501,0.758,0.9
18549,0.949999988079071,1.0
15774,0.8700000047683716,1.0
12371,0.766,2.4
18654,0.79,0.1
15882,0.8519999980926514,1.0
10319,0.786,1.1
14954,0.7580000162124634,1.0
10873,0.828000009059906,1.0
14342,0.7699999809265137,1.0
14741,0.762,1.7
11175,0.786,0.6
12723,0.8740000128746033,1.0
12524,0.8299999833106995,2.0
10964,0.756,1.0
19020,0.7667634086802122,0.0
11181,0.9139999747276306,1.0
14002,0.764,0.2
13001,0.764,1.1
13780,0.754,0.1
12307,0.766,2.0
14271,0.9259999990463257,2.0
15411,0.792,0.6
11583,0.906,1.0
12291,0.758,1.5
11532,0.772,1.9
16625,0.83,2.8
19058,0.784,0.7999999999999999
15627,0.8840000033378601,1.0
18291,0.8240000009536743,1.0
14732,0.794,0.1
10969,0.7867702143866856,0.0
12548,0.802,0.1
14870,0.94,0.1
13312,0.756,0.4
17240,0.9447090911664217,0.0
11930,0.85,0.1
18670,0.8220000267028809,1.0
17215,0.764,0.9
14746,0.9179999828338623,2.0
17107,0.766,1.8
15471,0.772,0.1
12203,0.808,2.0
16140,0.8019999861717224,0.5
19695,0.7919999957084656,1.0
17577,0.758,2.2
15692,0.9279999732971191,2.0
11398,0.936,0.1
17988,0.766,1.1
17572,0.903704889335234,0.0
14943,0.8519999980926514,1.0
14771,0.7559999823570251,1.5
16324,0.8539999723434448,1.0
15066,0.794,0.1
15678,0.7720000147819519,1.0
13224,0.898,0.1
16025,0.9100000262260437,1.0
12756,0.9179999828338623,1.0
10648,0.768,2.1
15462,0.8679999709129333,2.0
14548,0.858,0.1
11081,0.8080000281333923,1.0
18737,0.774,1.1
13641,0.784,1.4
10608,0.804,1.0
12184,0.8180000185966492,1.0
10128,0.754,0.1
15767,0.8337374086911455,0.0
15096,0.7580000162124634,0.5
14159,0.974,0.1
14265,0.9340000152587891,3.0
13032,0.854,0.1
18704,0.938,0.1
18691,0.768,1.3
15955,0.766,0.4
18338,0.8080000281333923,1.0
18041,0.764,0.6
14143,0.776,1.7
14111,0.79,1.8
19948,0.786,0.9
18724,0.762,0.3
19203,0.752,1.3
17245,0.754,0.6
16972,0.802,2.1
10746,0.76,1.0
16028,0.9240000247955322,1.0
12991,0.758,0.5
16733,0.764,1.0
17647,0.878000020980835,1.0
17591,0.8399999737739563,1.0
16815,0.762,0.1
11377,0.7620000243186951,1.0
15085,0.9319999814033508,2.0
16796,0.942,1.1
10757,0.762,0.5
13497,0.9279999732971191,1.0
11807,0.764,0.4
17665,0.77,2.4
11890,0.824,1.0
18580,0.798,2.2
17889,0.754,0.2
13844,0.8479999899864197,2.0
11552,0.9399999976158142,1.0
11062,0.782,1.9
16504,0.7739999890327454,1.0
12824,0.752,2.0
14590,0.9179999828338623,1.0
16156,0.756,1.9
15862,0.8939999938011169,1.0
17947,0.756,1.1
18480,0.7940000295639038,1.5
15529,0.832,2.1
17588,0.921999990940094,1.0
16186,0.756,1.1
18888,0.772,0.9
14766,0.774,1.9
10320,0.9100000262260437,2.0
17318,0.756,0.1
15848,0.9279999732971191,2.0
11639,0.784,0.1
12530,0.8980000019073486,1.0
16190,0.8960000276565552,3.0
10269,0.8679999709129333,1.0
15264,0.754,0.8
13062,0.8679999709129333,1.0
14779,0.868,1.0
16750,0.7639999985694885,0.5
13696,0.758,0.5
18286,0.766,1.6
16432,0.8519999980926514,1.0
11052,0.752,0.30000000000000004
10563,0.852,0.1
17764,0.79,0.1
18979,0.7919999957084656,1.0
14089,0.9380000233650208,1.0
14370,0.752,1.4000000000000001
19921,0.766,1.0
13797,0.768,1.5
19788,0.8220000267028809,1.0
14555,0.778,2.0
13382,0.778,2.7
18135,0.7853658103801043,0.0
10161,0.93,4.9
19746,0.778,0.7
12552,0.758,0.6
18080,0.9100000262260437,2.0
19008,0.78,0.7
15547,0.8519999980926514,1.0
12912,0.9319999814033508,1.0
11803,0.7839999794960022,2.0
18250,0.798,0.3
12192,0.9139999747276306,2.0
17938,0.92,1.1
18319,0.7960000038146973,2.0
17348,0.766,0.1
12691,0.9785156464392436,0.0
14998,0.8619999885559082,1.0
13709,0.8542203729284333,0.0
10244,0.8600000143051147,1.0
15358,0.8939999938011169,1.0
19809,0.7919999957084656,1.0
10065,0.9259999990463257,3.0
15153,0.8062092689530238,0.0
15578,0.9300000071525574,2.0
13617,0.7919999957084656,1.0
12219,0.918,1.1
13736,0.7540000081062317,1.0
19687,0.866,1.1
13911,0.752,0.2
16980,0.896,0.1
15339,0.752,1.3
18926,0.87,1.1
16474,0.7820000052452087,1.0
11551,0.76,1.0
16091,0.772,0.6
13537,0.862,0.1
14694,0.78,0.8
18154,0.858,0.1
11510,0.758,0.2
16549,0.7620000243186951,2.0
18637,0.9275084492165578,0.0
18416,0.792,2.1
16622,0.8659999966621399,1.0
11319,0.756,2.0
11729,0.7699999809265137,1.5
14534,0.9359999895095825,2.0
17741,0.944,1.1
12961,0.8479999899864197,1.0
16741,0.812,1.6
18378,0.806,0.7
17044,0.758,1.0
