,h_post,h_post_individualized
10317,0.84,
16597,0.94,
10470,0.86,
10131,0.96,
12279,0.98,
17214,0.86,
14030,0.84,
13938,0.98,
17745,0.96,
18681,0.9,
14747,0.96,
15476,0.94,
14701,0.96,
15004,0.94,
17560,0.96,
14000,0.96,
15739,0.8,
17675,0.86,
18959,0.84,
17101,0.98,
10501,0.96,
13423,0.86,
18090,0.98,
11596,0.96,
17692,0.86,
18656,0.86,
17008,0.9,
19454,0.84,
14555,0.96,
18370,0.96,
13326,1.0,
11673,0.88,
13992,0.96,
16752,0.94,
16964,0.86,
17082,0.8,
15824,0.84,
15175,0.96,
18736,0.92,
14774,0.88,
13424,0.98,
18427,0.92,
12125,0.96,
17603,0.96,
17006,0.98,
18556,0.96,
19310,0.92,
13513,0.96,
16672,0.86,
12354,0.84,
10116,0.94,
10341,0.98,
11912,0.8,
18637,0.9,
14416,0.64,
19988,1.0,
17474,0.96,
19772,0.92,
16712,0.88,
14934,0.9,
16444,0.96,
11844,0.96,
12360,0.88,
18400,0.96,
18457,0.82,
11038,0.94,
14132,0.82,
15710,0.96,
11650,0.86,
17395,0.98,
10803,0.92,
17385,0.94,
13998,0.7,
14961,0.96,
12540,0.94,
13308,0.68,
19870,0.96,
12240,0.94,
19713,0.96,
16093,0.9,
12878,0.84,
14818,0.96,
13888,0.96,
11905,0.96,
11380,0.82,
15373,0.98,
17988,0.92,
18037,0.82,
11718,0.86,
13101,0.96,
13449,0.94,
16403,0.72,
12322,0.96,
18041,0.98,
19986,0.9,
11828,0.86,
18371,0.96,
15668,0.9,
14033,0.9,
13054,0.94,
19722,0.98,
14933,0.98,
15615,0.9,
18138,0.98,
12974,0.96,
13014,0.94,
19136,0.96,
15125,0.74,
12174,0.86,
16267,0.98,
17264,0.94,
16041,0.86,
14901,0.88,
13864,0.92,
10498,0.84,
15202,0.92,
12435,0.94,
13714,0.98,
13696,0.84,
17644,0.92,
11743,0.94,
14856,0.88,
13205,0.94,
19148,0.94,
15099,0.88,
12433,0.96,
15682,0.86,
11646,0.9,
11959,0.96,
11458,0.84,
16319,0.92,
12932,0.84,
16375,0.84,
12968,0.94,
15478,0.86,
13417,0.98,
17686,0.94,
13307,0.96,
16276,0.84,
17545,0.88,
10347,0.94,
16008,0.62,
13280,0.9,
17237,0.94,
19345,0.88,
13328,0.9,
10517,0.9,
12056,0.84,
10518,0.94,
16167,0.94,
17985,0.88,
13210,0.88,
13822,0.96,
15701,0.82,
16185,0.66,
11900,0.84,
12189,0.88,
10921,0.96,
17371,1.0,
15604,0.88,
17742,0.94,
15588,0.96,
10609,0.94,
18808,0.66,
15013,0.96,
13018,0.96,
13517,0.96,
10119,0.82,
10983,0.66,
18323,0.96,
11795,0.86,
16946,0.98,
19490,0.94,
14403,0.98,
16884,0.94,
13626,0.9,
16892,0.96,
17858,0.88,
15157,0.86,
10453,0.92,
15980,0.96,
14111,0.84,
15781,0.92,
16302,0.98,
12113,0.76,
10109,0.96,
15857,0.96,
19381,0.86,
19749,0.92,
11028,0.84,
13953,0.98,
17543,0.6,
16717,0.84,
16731,0.86,
18156,0.86,
16062,0.96,
18886,0.94,
15045,0.96,
14601,0.94,
12220,0.96,
