,h_post,h_post_individualized
12247,0.86,
16994,0.9,
11436,0.88,
19286,0.76,
19035,0.96,
13095,0.88,
14291,0.86,
19299,0.9,
15888,0.96,
19302,0.88,
10905,0.94,
11154,0.94,
15120,1.0,
10215,0.96,
19937,0.82,
19965,0.92,
14898,0.72,
17080,0.9,
18577,0.94,
16852,0.58,
18592,1.0,
10973,0.9,
11892,0.92,
19252,0.92,
19928,0.6,
11570,0.92,
18604,0.84,
15067,0.9,
14815,0.68,
19269,0.88,
10010,1.0,
14006,0.88,
18029,0.72,
19064,0.92,
14784,0.86,
11510,0.78,
17481,0.96,
14778,0.88,
13582,0.94,
14917,0.96,
19888,0.64,
14724,0.92,
11937,0.86,
13611,0.94,
17897,0.9,
18334,0.98,
16155,1.0,
11334,0.94,
18817,0.84,
19810,0.72,
19954,0.8,
11315,0.94,
15951,0.82,
10320,0.92,
11916,1.0,
13968,0.9,
14523,0.9,
18370,0.9,
17511,0.94,
19616,0.88,
17932,0.94,
12573,0.96,
14450,0.74,
18420,0.94,
19169,0.9,
18221,0.64,
15398,0.98,
11350,0.76,
16899,0.56,
19708,0.84,
17047,0.88,
13683,0.92,
10645,0.96,
14426,1.0,
13419,0.7,
11676,0.9,
13815,0.74,
11446,0.84,
15086,0.82,
18183,0.6,
17675,0.94,
15971,0.76,
19341,0.84,
12299,0.94,
14985,0.92,
10342,0.9,
15035,0.92,
14612,0.92,
15449,0.96,
17929,0.88,
15680,0.98,
15791,0.78,
16902,0.9,
11412,0.9,
15608,0.98,
15441,0.94,
10411,0.88,
19052,0.9,
11834,0.86,
17445,0.96,
16237,0.94,
19462,0.84,
17060,0.94,
17078,0.88,
12959,0.96,
11535,0.78,
17325,0.8,
19116,0.9,
13599,0.78,
13630,0.94,
13834,1.0,
12201,0.92,
12376,0.94,
14938,0.98,
11470,0.9,
10657,0.8,
17396,0.78,
19394,0.84,
12885,0.84,
15222,0.94,
10311,0.74,
13052,0.7,
11329,0.94,
10947,0.82,
11280,0.96,
18264,0.92,
19834,0.98,
10719,0.92,
10892,0.66,
14678,0.9,
18673,0.74,
13195,0.9,
16199,0.86,
10783,0.94,
12957,0.86,
17805,0.9,
16614,0.92,
18050,0.9,
10642,1.0,
10708,0.9,
10591,0.96,
14261,0.92,
11349,0.72,
15106,0.92,
17385,0.94,
11938,0.72,
13380,0.9,
14743,0.88,
17531,0.92,
14498,0.72,
13838,0.96,
10247,0.94,
19752,0.94,
12003,0.9,
16981,0.74,
16975,0.94,
18806,0.94,
17570,0.86,
13368,0.8,
16094,0.98,
15854,0.64,
11628,0.68,
11881,0.84,
12954,0.82,
17982,0.8,
12919,0.74,
15641,0.84,
11771,0.96,
11104,0.8,
15136,0.88,
18928,0.9,
14038,0.84,
17920,0.96,
18735,0.9,
14665,0.92,
10027,0.94,
16962,0.68,
14703,0.74,
13769,0.86,
14156,0.94,
12891,0.86,
19310,0.84,
14436,0.72,
12620,0.88,
18474,0.94,
16298,0.9,
17292,0.96,
12044,0.88,
16726,0.58,
15834,0.9,
12517,0.9,
12759,0.84,
17259,1.0,
10265,0.94,
15689,1.0,
18905,0.92,
10340,0.96,
10083,0.78,
11322,0.94,
11494,0.94,
