ix,goal_cost,intv_cost
12270,1.0,1.0
16010,1.0,0.4
17787,1.0,0.7
12862,1.0,0.6
12307,1.0,1.0
15035,1.0,0.6
11004,1.0,0.8
13102,1.0,0.1
17341,1.0,0.8
16005,1.0,0.4
13571,1.0,1.0
19552,1.0,0.9
19834,1.0,0.5
17692,1.0,1.0
18895,1.0,0.5
18334,1.0,0.5
13969,1.0,1.0
11322,1.0,0.2
12695,1.0,0.8
17168,1.0,0.3
11175,1.0,0.8
18307,1.0,0.5
19438,1.0,0.9
19648,1.0,0.4
19420,1.0,0.1
18045,1.0,0.1
13815,1.0,0.4
12439,1.0,0.7
12957,1.0,0.6
16899,1.0,1.0
15971,1.0,0.2
17831,1.0,0.6
10495,1.0,0.8
10139,1.0,0.5
13588,1.0,0.9
10159,1.0,0.7
19642,1.0,0.1
15040,1.0,0.8
13665,1.0,0.4
14716,1.0,0.1
13516,1.0,0.4
14465,1.0,0.9
15348,1.0,0.4
12342,1.0,0.3
13368,1.0,0.7
16928,1.0,0.4
19225,1.0,0.4
16315,1.0,0.7
13849,1.0,0.1
17226,1.0,0.2
17929,1.0,0.9
14516,1.0,0.7
14923,1.0,0.5
15689,1.0,0.8
15062,1.0,0.5
14240,1.0,0.3
19494,1.0,0.5
17793,1.0,0.3
11982,1.0,0.7
14294,1.0,0.5
16609,1.0,0.9
12584,1.0,0.6
17614,1.0,0.3
10307,1.0,0.1
17481,1.0,0.9
13590,1.0,1.0
18626,1.0,0.4
15733,1.0,0.5
18073,1.0,0.2
10566,1.0,0.1
17070,1.0,0.5
18605,1.0,1.0
13007,1.0,0.5
15594,1.0,0.3
19170,1.0,0.9
16914,1.0,0.4
19483,1.0,0.6
11455,1.0,0.5
13732,1.0,0.9
14535,1.0,0.4
15453,1.0,0.3
17110,1.0,1.0
18671,1.0,1.0
14450,1.0,0.2
18928,1.0,0.7
11643,1.0,0.5
16660,1.0,0.9
16218,1.0,0.1
11696,1.0,0.8
10113,1.0,0.6
11101,1.0,0.7
17321,1.0,0.6
10915,1.0,0.6
18048,1.0,0.3
17483,1.0,1.0
18887,1.0,0.7
19541,1.0,0.2
11446,1.0,0.2
19320,1.0,0.5
15641,1.0,0.6
16827,1.0,0.6
16255,1.0,0.1
19310,1.0,0.6
18761,1.0,0.9
11487,1.0,0.2
19462,1.0,0.3
16905,1.0,0.5
12274,1.0,0.7
16466,1.0,0.9
10024,1.0,0.2
11436,1.0,0.7
12907,1.0,0.7
17716,1.0,0.6
13206,1.0,0.6
16706,1.0,0.5
17135,1.0,0.9
11470,1.0,0.2
17616,1.0,0.5
17953,1.0,1.0
13719,1.0,1.1
14367,1.0,0.6
16215,1.0,0.7
18696,1.0,0.5
13953,1.0,0.8
17577,1.0,0.3
13622,1.0,0.7
16041,1.0,0.9
18694,1.0,1.0
15809,1.0,0.3
16883,1.0,0.1
11334,1.0,0.8
12733,1.0,1.0
19530,1.0,0.9
16298,1.0,0.3
15449,1.0,0.7
14064,1.0,0.2
14898,1.0,0.3
11413,1.0,0.7
10433,1.0,0.4
15977,1.0,0.4
16113,1.0,0.9
19971,1.0,1.0
17938,1.0,0.4
19233,1.0,1.0
19341,1.0,0.3
19286,1.0,0.6
16075,1.0,0.9
14269,1.0,0.9
16424,1.0,0.3
14985,1.0,0.7
11837,1.0,0.5
11881,1.0,0.9
18780,1.0,0.5
13630,1.0,0.7
15854,1.0,0.9
14728,1.0,0.8
13445,1.0,0.9
13806,1.0,0.8
15106,1.0,0.1
11272,1.0,0.4
10215,1.0,0.5
12597,1.0,0.1
17548,1.0,0.2
10372,1.0,0.7
11767,1.0,0.5
11239,1.0,0.2
12261,1.0,0.4
13972,1.0,0.7
10261,1.0,0.4
11464,1.0,0.3
13536,1.0,0.6
11939,1.0,0.9
17445,1.0,0.8
10615,1.0,0.7
17250,1.0,0.7
13507,1.0,0.8
12247,1.0,0.5
11976,1.0,0.6
11985,1.0,0.5
18332,1.0,0.7999999999999999
19258,1.0,0.30000000000000004
14743,1.0,0.1
13733,1.0,0.3
10147,1.0,0.7
18646,1.0,0.6
11821,1.0,0.2
16776,1.0,0.1
17531,1.0,0.1
15313,1.0,0.6
19511,1.0,0.1
11770,1.0,0.3
15475,1.0,0.2
15870,1.0,0.1
15819,1.0,1.0
16033,1.0,0.9
10951,1.0,0.4
15222,1.0,0.4
13871,1.0,0.4
19888,1.0,0.1
11825,1.0,0.30000000000000004
