ix,goal_cost,intv_cost
11284,1.0,0.3
18406,1.0,0.2
17903,1.0,0.5
15706,1.0,0.4
14219,1.0,0.7
19036,1.0,0.3
10278,1.0,0.2
19361,1.0,1.0
14027,1.0,0.2
10236,1.0,0.4
12437,1.0,0.4
15728,1.0,0.8
19934,1.0,1.0
18194,1.0,0.2
14297,1.0,0.9
14114,1.0,0.9
12987,1.0,1.0
19335,1.0,0.9
18468,1.0,0.6
10034,1.0,0.8
19139,1.0,0.4
19461,1.0,0.5
12510,1.0,0.1
18688,1.0,0.1
17522,1.0,0.2
13517,1.0,0.7
19814,1.0,0.8
17279,1.0,0.5
15849,1.0,0.6
14885,1.0,0.9
11144,1.0,0.2
16735,1.0,0.9
14198,1.0,0.6
18006,1.0,0.4
13888,1.0,0.8
18208,1.0,0.8
13151,1.0,0.9
17797,1.0,0.3
18134,1.0,0.3
14433,1.0,0.9
19686,1.0,0.5
10099,1.0,0.2
17864,1.0,0.6
10219,1.0,0.8
17603,1.0,0.4
17893,1.0,0.6
11740,1.0,0.4
19855,1.0,1.0
18511,1.0,0.5
15697,1.0,1.0
19594,1.0,0.8
10884,1.0,1.0
16715,1.0,0.9
10385,1.0,0.9
11426,1.0,1.0
19891,1.0,0.5
15145,1.0,0.9
19137,1.0,0.7
15645,1.0,0.1
16558,1.0,1.0
17700,1.0,0.9
10435,1.0,0.3
10369,1.0,0.8
17440,1.0,0.1
16970,1.0,0.2
11103,1.0,0.6
17337,1.0,0.4
13014,1.0,0.9
10324,1.0,0.1
11233,1.0,0.8
17368,1.0,1.0
10503,1.0,1.0
19119,1.0,0.30000000000000004
17486,1.0,1.0
11432,1.0,0.4
13840,1.0,0.3
12782,1.0,0.7
18362,1.0,1.0
10893,1.0,1.0
11769,1.0,0.4
15751,1.0,0.9
18213,1.0,0.3
13831,1.0,0.3
16141,1.0,0.3
10517,1.0,0.4
16407,1.0,0.6
14292,1.0,0.6
12841,1.0,0.3
17401,1.0,0.6
18573,1.0,1.0
17339,1.0,0.8
18609,1.0,0.8
13922,1.0,0.9
12887,1.0,0.4
10924,1.0,0.5
14892,1.0,0.5
17874,1.0,0.9
13080,1.0,0.9
16190,1.0,0.9
11472,1.0,0.5
14171,1.0,0.1
14325,1.0,0.3
16309,1.0,0.4
15006,1.0,0.4
15651,1.0,0.3
10943,1.0,0.8
12779,1.0,0.4
16788,1.0,1.0
19700,1.0,0.8
14087,1.0,0.3
13772,1.0,0.8
12598,1.0,0.7
15209,1.0,0.1
14211,1.0,0.4
17585,1.0,0.7
10713,1.0,0.8
10235,1.0,1.0
12490,1.0,0.9
17152,1.0,1.0
19481,1.0,0.6
18569,1.0,1.0
18912,1.0,0.1
14597,1.0,0.3
17826,1.0,0.2
12742,1.0,0.5
15463,1.0,0.8
10824,1.0,0.3
19349,1.0,0.2
11093,1.0,0.5
18105,1.0,0.3
16130,1.0,0.6
18695,1.0,1.0
10718,1.0,0.7
14031,1.0,0.7999999999999999
14630,1.0,0.7
10515,1.0,1.0
12995,1.0,0.6
10004,1.0,0.7
17223,1.0,1.1
15166,1.0,0.2
11251,1.0,1.0
14343,1.0,0.5
12816,1.0,0.6
12341,1.0,0.5
18938,1.0,0.4
14800,1.0,0.8
11344,1.0,0.5
18588,1.0,0.4
10151,1.0,0.6
13649,1.0,1.0
13737,1.0,0.9
18473,1.0,0.3
18044,1.0,0.7
18717,1.0,0.6
10812,1.0,0.8
15804,1.0,0.4
19354,1.0,0.5
19493,1.0,0.9
17302,1.0,0.9
19278,1.0,1.0
10186,1.0,0.5
12530,1.0,0.1
17381,1.0,0.9
17915,1.0,0.8
17703,1.0,0.4
14059,1.0,0.8
14281,1.0,0.2
18063,1.0,0.6
16039,1.0,0.4
10113,1.0,0.5
18252,1.0,0.5
19601,1.0,0.7
19620,1.0,0.2
16005,1.0,0.9
16865,1.0,0.9
15230,1.0,0.5
12301,1.0,0.3
15447,1.0,0.1
15207,1.0,0.4
11397,1.0,0.4
14094,1.0,1.0
14407,1.0,0.1
19468,1.0,0.7
17984,1.0,0.6
19853,1.0,0.9
12803,1.0,0.9
13313,1.0,0.5
16235,1.0,0.8
15329,1.0,0.5
11850,1.0,0.6
17188,1.0,0.2
19854,1.0,0.1
12926,1.0,1.0
16869,1.0,0.2
17957,1.0,0.9
17770,1.0,0.6
11145,1.0,0.4
18968,1.0,0.6
12125,1.0,0.8
17783,1.0,1.0
