,y_hat
13788,False
19242,False
15973,False
18361,False
17023,False
18765,False
14203,False
11195,False
15164,False
15191,False
14156,False
16303,False
15052,False
14471,False
10131,False
17865,False
11409,False
16909,False
17350,False
12587,False
12426,False
13522,False
12052,False
15103,False
17139,False
13474,False
14807,False
15098,False
13265,False
18329,False
14780,False
19847,False
15383,False
15036,False
11151,False
18642,False
13268,False
16320,False
17001,False
14063,False
19319,False
15960,False
15727,False
14835,False
15292,False
12171,False
10267,False
14948,False
12671,False
14760,False
12267,False
13155,False
14560,False
14357,False
15200,False
15260,False
16476,False
17979,False
15167,False
17657,False
17381,False
17143,False
17548,False
15241,False
15800,False
14777,False
11692,False
19643,False
13975,False
11483,False
13673,False
14871,False
12863,False
18147,False
11676,False
13011,False
17692,False
14651,False
16979,False
10935,False
12570,False
11078,False
11629,False
18558,False
16030,False
10609,False
15652,False
10566,False
14766,False
11308,False
13319,False
16660,False
18443,False
17451,False
10707,False
11767,False
14416,False
13269,False
18860,False
17777,False
12866,False
11205,False
19673,False
16057,False
17763,False
18975,False
14884,False
19698,False
17449,False
17589,False
18037,False
19795,False
11466,False
17661,False
13950,False
11960,False
13278,False
16847,False
14136,False
13328,False
12436,False
15432,False
18483,False
13821,False
17202,False
16452,False
13195,False
16211,False
11452,False
14715,False
16284,False
17195,False
17950,False
13744,False
17204,False
17824,False
10090,False
15033,False
17102,False
14132,False
13847,False
13633,False
11630,False
14646,False
19412,False
16800,False
12875,False
11474,False
15219,False
14866,False
12872,False
14410,False
11595,False
13230,False
13532,False
18547,False
19276,False
13309,False
10741,False
19817,False
15749,False
17220,False
11736,False
18436,False
15838,False
14366,False
13124,False
13862,False
13003,False
11445,False
15300,False
10781,False
15435,False
15980,False
13763,False
11497,False
17007,False
10111,False
15928,False
18532,False
17850,False
12477,False
16504,False
19862,False
14576,False
15653,False
12684,False
10977,False
10971,False
19279,False
15276,False
12023,False
19221,False
19688,False
14982,False
13369,False
17743,False
17502,False
15924,False
15125,False
